"","IBQr_fear"
"AgeAt1yrVisit",0.00534860085612366
"MAGE",-0.104579450346821
"PAGE",-0.00999694246506356
"MEDUY",-0.188690256037322
"PEDUY",-0.0877998950413223
"Income.code",NA
"OLDERSIBLINGS",-0.360190494318182
"SEX",-0.043526789473684
"GESTAGEBIRTH",-0.0215970917240683
"BW",-0.00119196375093427
"MaternalInfection",0.295915452941177
"MPSYCH",0.146291257142857
"VITAMINDNEO",-0.328525611111111
"PrePregBMI",NA
"ANTIBIOTIC_1yr",NA
"FORMULA_1yr",NA
"FORMULA_6mo",0.367629994505495
"FEVER_1yr",NA
"DAYCARE",NA
"CURBRFEED_1yr",NA
"Milks_1yr",NA
"FrenchFries_1yr",NA
"SweetFoodsDrinks_1yr",NA
"PeanutButter_1yr",NA
"WHSTOTHER",NA
"VITAMIND_6mo",NA
"Cereals_6mo",NA
"STATE",NA
"TRAIT",NA
"NegativeLifeEvents",0.062860587797619
"PositiveLifeEvents",-0.0595361951866098
"TotalLifeEvents",0.00397133777444785
