"","wunifrac.PC.1","wunifrac.PC.2","wunifrac.PC.3","wunifrac.PC.4","unifrac.PC.1","unifrac.PC.2","unifrac.PC.3","unifrac.PC.4","chao1","observed_otus","PD_whole_tree","shannon"
"AgeAt1yrVisit",-0.00256105750301374,0.000475953751630908,0.00104840790487246,0.000158691284963492,0.00130174847089203,-0.000571738508175181,0.000239077351481825,0.000428872285342506,-0.350510389960358,-0.201568236446185,-0.0206305221240986,-0.00328108431838989
"MAGE",-0.0151023412417201,0.0201783845607115,0.000158781028854153,-0.000270263827398764,0.00764188600345438,0.00147578473739173,0.00544654318887123,0.00679793058226147,0.197491060576647,0.182990786676116,-0.0156547367115522,-0.0162153927770284
"PAGE",-0.0328884635395693,0.000986396786500104,0.00489919442882403,0.00157722825828979,0.0113703419762434,-0.0018744430569231,0.00652849681206011,-0.00529642123496839,-1.70674279558325,-0.469930910183237,-0.0350859962451186,-0.0173719413792332
"MEDUY",-0.00401084590091041,0.0125544482477487,-0.000278354017806218,-0.00599300141911577,0.0124987820651412,-0.00285470376318217,0.00239083000708944,0.00474063453509579,8.91240838143423,3.58792497069168,0.00458277725674086,0.0407513269931869
"PEDUY",0.0114679540369408,0.0271523504942746,-0.00417068306806178,0.000461206158307701,-0.0138059555477992,0.0133989524209023,-0.00456070560292681,0.0100784437762445,3.4975753009909,0.982477341389726,0.0254548617824771,0.048785492485003
"Income.code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OLDERSIBLINGS",0.124167109954898,0.143221781639221,-0.0427448442332548,-0.050726113003926,-0.0559217364125268,-0.0325997663439375,-0.014699970681525,0.0517974491112556,-10.9757622029721,-6.86153846153846,-0.509598211538461,-0.0571223665815573
"SEX",-0.193484307612271,-0.0817541029748989,-0.0498323629363144,0.0541517321733567,0.0767275283362605,0.0357834614154807,-0.0824420197899288,-0.0846630290684979,-0.623088421803363,6.82115384615384,-0.483455442307693,0.195220883192683
"GESTAGEBIRTH",-0.015895608409708,0.0115561609717437,0.000442097932084163,0.000449961310256079,0.001931451981519,0.00231100638316161,0.00152747313017869,0.00344127872240101,-0.812973948615458,-0.421210350584309,-0.0431670368530885,-0.0120495952518304
"BW",-0.000333272832759436,7.00047114782679e-06,5.3725355491153e-05,-0.000120725101084044,-0.000100005569611875,-4.7991862926933e-05,1.5687492202567e-05,3.12515193468031e-05,0.0634199636700357,0.0409533568662159,0.000994313578454354,0.000402581228776396
"MaternalInfection",-0.0479151427781556,0.00923764770151429,-0.0176186720298444,0.0248163311367417,-0.0448312864276109,0.0568995190174972,-0.0236298753819944,-0.03830842263188,-29.8311322952792,-21.9666666666667,-0.830741861111111,-0.102638962199305
"MPSYCH",0.0421180713078188,0.0261945407992209,0.00359851282499001,0.03783410724604,-0.0312679552258753,0.0961193433942863,0.10232038435377,-0.0331421678619813,16.6054743733925,4.91874999999999,0.600591612499999,0.121986288878512
"VITAMINDNEO",-0.208174775854263,-0.0165663255504964,-0.0107449522167625,0.0336716493417971,0.0352313091237624,0.0703114028487,0.0133920577348875,-0.0434494886589031,48.0310407044822,29.0932692307692,0.718074499999999,0.382866698396423
"PrePregBMI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTIBIOTIC_1yr",-0.20276878072268,-0.0795359222845143,-0.0576906968337667,-0.0333876884779313,-0.0507537738862404,0.0507199006899061,-0.0390480057179677,-0.0685877053750761,15.8439859913763,13.2888888888889,0.412318626262626,-0.0289810862342017
"FORMULA_1yr",0.0931960860757445,0.0631913376414312,-0.116622701972858,-0.0164579311021535,-0.123455619681526,0.0269035545912192,-0.0408634480857051,-0.00847614706079333,33.4974832016793,16.5818181818182,0.992395797979798,0.356052338227818
