"","neo.WM","neo.GM","neo.CSF","neo.ICV","neo.Hippocampus_LR","neo.Amygdala_LR","neo.mPFC","yr1.WM","yr1.CSF","yr1.GM","yr1.ICV","yr1.Hippocampus_LR","yr1.Amygdala_LR","yr1.mPFC"
"wunifrac.PC.1",-12964.2551627406,-43114.7709532467,-6732.49117300845,-62811.5172889958,-94.4938874687527,-214.82470529896,-4051.70162046464,-18448.3359279114,-802.434276133562,13938.4200174079,-5312.35018663714,2.16600335411029,89.545515805457,12135.8369409656
"wunifrac.PC.2",1021.330039856,-1068.87029400234,-20778.0899359313,-20825.6301900777,-145.94035164596,-37.8405266076325,-196.092586270327,44823.0383410763,51599.4643467909,39244.2728957958,135666.775583663,-74.7029902956704,725.501247058161,8422.22575133384
"wunifrac.PC.3",5766.23737252375,-10654.3481415822,-31155.0612419335,-36043.1720109919,-16.3068048954771,-18.3382240368885,-604.267709080546,50649.4088627639,-80520.3900269439,177552.38091098,147681.3997468,1172.38354042338,-362.677121910097,33854.3739751628
"wunifrac.PC.4",37028.9772062576,38805.3947040089,52899.7317976142,128734.103707881,191.255437394292,-95.1035518540609,4827.56824484053,35581.738769807,-23366.8423606813,57927.040553078,70141.9369622039,-507.841790929022,-476.841564135036,-3041.32224312092
"unifrac.PC.1",-26060.9210323866,-38699.85924202,-23110.5625156578,-87871.3427900644,-167.215295820088,-290.794420268314,-5260.3083780986,28385.6991573772,49745.1632518183,-21437.683659738,56693.1787494573,-250.331681545668,-93.4973140121324,-4300.71260299738
"unifrac.PC.2",-16703.0050365955,-62952.1076174115,-57999.8300101335,-137654.94266414,-144.323625591449,-63.1728465404186,-6248.47806236955,1505.45204991479,-27974.458243294,6696.38352305669,-19772.6226703226,696.39052686929,143.851748957816,41.9460795767944
"unifrac.PC.3",27763.4671795534,69796.7649568314,-1914.77451269011,95645.4576236948,252.463775558257,389.113663233174,7508.85367237506,121435.165493162,27067.4489713622,82272.7564568727,230775.370921397,43.7372673429015,274.723435523347,-3867.10115964512
"unifrac.PC.4",-10128.1751616161,-9559.20903324634,-59327.7412164635,-79015.1254113262,-71.717188504969,-3.22947907483848,-559.927647179857,-52769.5657730305,-30843.2604819694,13002.4721913224,-70610.3540636776,263.86470167831,36.3903276868929,18345.6173956972
"chao1",-96.9451080801115,-135.582617715523,-80.3484843726093,-312.876210168245,-0.696144530393926,-1.14577966779454,-15.1344974924878,335.790358522276,10.2281708624187,74.2199083780959,420.238437762791,-0.755552134245543,0.0372507357161415,52.7071675265548
"observed_otus",-169.116767172231,-143.781563953408,-55.8932249618182,-368.791556087458,-0.47858174495834,-1.32836681613882,-24.5199456993756,228.22460220952,-2.82561490754524,-397.348447467414,-171.949460165438,-2.52511688365924,-0.244366916041339,39.0776097617203
"PD_whole_tree",-1876.65248371149,-3362.29257036048,-331.196234119975,-5570.14128819196,-12.3205783992658,-28.9043936595594,-431.611519731853,-2821.24759768509,-2793.86536748193,-3275.93241181797,-8891.04537698496,-52.3316306559124,-29.959710125574,1518.84190942723
"shannon",-2583.31496372408,2690.02450489877,5779.51108459106,5886.22062576577,22.0741376371451,-13.4705311402333,-113.550529490889,10975.1897135674,4173.60200318464,8909.93466767459,24058.7263844266,-31.0376623866217,-99.0132722161623,1609.77320736138
