"","diff.WM","diff.GM","diff.CSF","diff.ICV","diff.Hippocampus_LR","diff.Amygdala_LR","diff.mPFC"
"chao1",335.726357433762,106.244036047996,103.228055644235,545.198449125992,-0.259610298834013,0.858826527921889,56.5638607879905
"observed_otus",342.094786033821,-157.186469334981,78.9080161393469,263.816332838187,-1.64299389884013,1.63941462389372,84.285568530066
"PD_whole_tree",-2239.8848250933,4073.48731204983,-3777.26854103176,-1943.66605407524,-19.5052745715224,10.857083179073,2629.95857932179
"shannon",13124.2847696899,4684.37873743884,-5558.47035523182,12250.1931518969,-21.914253663545,-51.0894497702873,1304.36421108374
"wunifrac.PC.1",-18921.5697430198,28733.6471057454,-29246.180314713,-19434.1029519874,-142.126980730363,176.395341115392,11986.0826611364
"wunifrac.PC.2",23796.7497211754,-93096.3986431199,19202.7160753267,-50096.9328466177,-300.065010143749,483.329651659346,-6262.36582055035
"wunifrac.PC.3",24333.6527624685,109895.779375581,-29297.0192554527,104932.412882597,1415.98814718921,-157.59949730304,21786.69107845
"wunifrac.PC.4",1674.46632044168,108096.471345182,-131264.83518334,-21493.8975177166,-761.9597542157,-878.010803331938,10943.3906529392
"unifrac.PC.1",42205.7357089404,-78194.5044248998,65064.3381756346,29075.5694596752,-474.498883867818,-258.788534670943,-11295.3360067864
"unifrac.PC.2",11109.543558169,84616.1197000385,55247.2647201199,150972.927978327,907.422885904118,264.640001389918,6891.04702190422
"unifrac.PC.3",85599.7631918648,-17998.9783276902,57143.0723717568,124743.857235931,-289.079083188008,-185.670281546892,-14267.28794199
"unifrac.PC.4",-80887.7270933851,-78436.3782528785,8288.12569021121,-151035.979656052,-42.5639890641885,-51.3603054223806,4430.51034557375
