ID	unifrac	wunifrac	jsd	rjsd	bray
MA001.NEO	1	1	1	1	1
MA004.NEO	2	2	1	2	1
MA006.NEO	3	3	2	2	2
MA007.NEO	1	3	3	3	3
MA008.NEO	2	3	3	3	3
MA011.NEO	3	3	3	3	3
MA012.NEO	2	2	3	3	3
MA013.NEO	3	2	1	1	1
MA014.NEO	3	2	3	1	3
MA015.NEO	3	3	1	1	1
MA016.NEO	1	1	3	3	3
MA020.NEO	2	3	3	3	3
MA022.NEO	3	2	1	1	1
MA023.NEO	2	1	2	2	2
MA024.NEO	1	1	3	3	3
MA025.NEO	1	1	1	1	1
MA026.NEO	3	1	1	1	1
MA027.NEO	1	2	2	2	2
MA028.NEO	3	1	1	1	1
MA029.NEO	2	1	2	2	2
MA030.NEO	2	2	3	3	3
MA032.NEO	1	2	3	3	3
MA033.NEO	2	2	2	2	2
MA036.NEO	2	1	3	3	3
MA037.NEO	3	3	3	3	3
MA038.NEO	2	1	3	3	3
MA039.NEO	2	3	1	1	1
MA040.NEO	1	2	3	3	3
MA043.NEO	2	3	3	3	3
MA044.NEO	1	1	1	1	1
MA045.NEO	2	3	3	3	3
MA046.NEO	1	2	2	2	2
