"","IBQr_fear"
"AgeAt1yrVisit",0.28503899797853
"MAGE",0.005956986114723
"PAGE",0.740824617547301
"MEDUY",0.0264718125430804
"PEDUY",0.197822842698326
"Income.code",0.287954532863915
"OLDERSIBLINGS",0.371731905671731
"SEX",0.920734246950199
"GESTAGEBIRTH",0.423152518676298
"BW",0.0221696589296035
"MaternalInfection",0.472041218877957
"MPSYCH",0.74800002962842
"VITAMINDNEO",0.435315349769865
"PrePregBMI",0.0381061723628197
"ANTIBIOTIC_1yr",0.194921737288352
"FORMULA_1yr",0.316144607701306
"FORMULA_6mo",0.353570964130274
"FEVER_1yr",0.324200168109372
"DAYCARE",0.668811761417884
"CURBRFEED_1yr",0.325936700532353
"Milks_1yr",0.328762715648917
"FrenchFries_1yr",0.307830465207407
"SweetFoodsDrinks_1yr",0.199275256198645
"PeanutButter_1yr",0.325366644082573
"WHSTOTHER",0.976777916864349
"VITAMIND_6mo",0.679620211836614
"Cereals_6mo",0.411238543972688
"STATE",0.0674153503356407
"TRAIT",0.879438555853847
"NegativeLifeEvents",0.0883246628826567
"PositiveLifeEvents",0.116445586652006
"TotalLifeEvents",0.897330495999794
