"","IBQr_fear"
"AgeAt1yrVisit",0.584467050042519
"MAGE",0.190623555671136
"PAGE",0.854857176718194
"MEDUY",0.282366000459524
"PEDUY",0.584467050042519
"Income.code",0.584467050042519
"OLDERSIBLINGS",0.594771049074769
"SEX",0.950435351690528
"GESTAGEBIRTH",0.605656138810246
"BW",0.282366000459524
"MaternalInfection",0.629388291837276
"MPSYCH",0.854857176718194
"VITAMINDNEO",0.605656138810246
"PrePregBMI",0.304849378902558
"ANTIBIOTIC_1yr",0.584467050042519
"FORMULA_1yr",0.584467050042519
"FORMULA_6mo",0.594771049074769
"FEVER_1yr",0.584467050042519
"DAYCARE",0.836455645337371
"CURBRFEED_1yr",0.584467050042519
"Milks_1yr",0.584467050042519
"FrenchFries_1yr",0.584467050042519
"SweetFoodsDrinks_1yr",0.584467050042519
"PeanutButter_1yr",0.584467050042519
"WHSTOTHER",0.976777916864349
"VITAMIND_6mo",0.836455645337371
"Cereals_6mo",0.605656138810246
"STATE",0.431458242148101
"TRAIT",0.950435351690528
"NegativeLifeEvents",0.471064868707503
"PositiveLifeEvents",0.53232268183774
"TotalLifeEvents",0.950435351690528
