"","wunifrac.PC.1","wunifrac.PC.2","wunifrac.PC.3","wunifrac.PC.4","unifrac.PC.1","unifrac.PC.2","unifrac.PC.3","unifrac.PC.4","chao1","observed_otus","PD_whole_tree","shannon"
"AGEVISITNEO",0.953468295269303,0.378733461872823,0.883210718437927,0.961875056132286,0.979012661153362,0.373353071653456,0.864947793514308,0.770232072135575,0.79321012026407,0.767929975290834,0.500379110381011,0.897081011890132
"MAGE",0.923536403909749,0.00140928593945723,0.883210718437927,0.961875056132286,0.979012661153362,0.373353071653456,0.628624161864322,0.770232072135575,0.79321012026407,0.767929975290834,0.500379110381011,0.897081011890132
"METHNIC",0.930411139385349,0.394548209464477,0.883210718437927,0.961875056132286,0.979012661153362,0.373353071653456,0.628624161864322,0.903030064141186,0.81809102789028,0.843940356267593,0.914137080123808,0.897081011890132
"PAGE",0.923536403909749,0.23230150567521,0.988297174221158,0.961875056132286,0.979012661153362,0.591122619771267,0.850807865090103,0.770232072135575,0.81809102789028,0.981992924158675,0.847834262418075,0.897081011890132
"PETHNIC",0.923536403909749,0.58051647020059,0.883210718437927,0.728379619750827,0.979012661153362,0.456798259853208,0.628624161864322,0.874262073770908,0.79321012026407,0.767929975290834,0.751110033367289,0.897081011890132
"MEDUY",0.923536403909749,0.23230150567521,0.883210718437927,0.961875056132286,0.979012661153362,0.617672201401122,0.628624161864322,0.891345844062048,0.79321012026407,0.789121793615625,0.500379110381011,0.897081011890132
"PEDUY",0.923536403909749,0.23230150567521,0.718484521089012,0.686033153044964,0.979012661153362,0.373353071653456,0.628624161864322,0.770232072135575,0.652819429640949,0.767929975290834,0.500379110381011,0.915420253168021
"Income.code",0.923536403909749,0.6100838977848,0.883210718437927,0.961875056132286,0.979012661153362,0.620767120110421,0.628624161864322,0.770232072135575,0.652819429640949,0.767929975290834,0.500379110381011,0.530148993158372
"OLDERSIBLINGS",0.648484078047267,0.23230150567521,0.988297174221158,0.961875056132286,0.979012661153362,0.373353071653456,0.628624161864322,0.770232072135575,0.81809102789028,0.767929975290834,0.500379110381011,0.897081011890132
"SEX",0.923536403909749,0.884485318581282,0.871063397532498,0.961875056132286,0.979012661153362,0.558352308062712,0.628624161864322,0.770232072135575,0.981145857182853,0.981992924158675,0.914137080123808,0.897081011890132
"GESTAGEBIRTH",0.923536403909749,0.319434530133618,0.883210718437927,0.961875056132286,0.979012661153362,0.558352308062712,0.850807865090103,0.903030064141186,0.652819429640949,0.771481384440055,0.500379110381011,0.897081011890132
"BW",0.923536403909749,0.6100838977848,0.883210718437927,0.961875056132286,0.21175856825072,0.373353071653456,0.863801171165298,0.770232072135575,0.79321012026407,0.83130715106161,0.786156733920519,0.900525764416601
"MaternalInfection",0.923536403909749,0.884485318581282,0.883210718437927,0.961875056132286,0.979012661153362,0.358584750733649,0.628624161864322,0.857828197728311,0.79321012026407,0.767929975290834,0.914137080123808,0.897081011890132
"MPSYCH",0.648484078047267,0.6100838977848,0.483913722488072,0.961875056132286,0.979012661153362,0.373353071653456,0.628624161864322,0.770232072135575,0.976261617474222,0.789121793615625,0.513746565240902,0.603620884745302
"VITAMINDNEO",0.648484078047267,0.319434530133618,0.883210718437927,0.961875056132286,0.979012661153362,0.423326711310275,0.628624161864322,0.903030064141186,0.147098028717399,0.541815396379296,0.500379110381011,0.039664449874704
"PrePregBMI",0.930411139385349,0.23230150567521,0.710990783168553,0.961875056132286,0.979012661153362,0.406190864440423,0.864947793514308,0.809285758485322,0.976261617474222,0.981992924158675,0.914137080123808,0.897081011890132
