"","wunifrac.PC.1","wunifrac.PC.2","wunifrac.PC.3","wunifrac.PC.4","unifrac.PC.1","unifrac.PC.2","unifrac.PC.3","unifrac.PC.4","chao1","observed_otus","PD_whole_tree","shannon"
"AgeAt1yrVisit",0.7687042238684,0.941429059100151,0.802872149301402,0.917790232906045,0.632501338788565,0.838078466800942,0.886205331481371,0.928722168694648,0.875871498798154,0.860517363432277,0.805218669867013,0.877610033031036
"MAGE",0.866392397701193,0.202271022290076,0.982636848910375,0.95585557590607,0.632501338788565,0.907276284209712,0.886205331481371,0.928722168694648,0.987416829451911,0.972858175142379,0.938591414215367,0.877610033031036
"PAGE",0.159524847696511,0.942996100630368,0.802872149301402,0.917790232906045,0.231727845319121,0.838078466800942,0.545264048035519,0.928722168694648,0.875871498798154,0.972858175142379,0.805218669867013,0.877610033031036
"MEDUY",0.957999300369891,0.809664956644293,0.982636848910375,0.917790232906045,0.782608555198873,0.907276284209712,0.886205331481371,0.940969981139518,0.875871498798154,0.860517363432277,0.984167176145192,0.877610033031036
"PEDUY",0.94631255547832,0.202271022290076,0.941117365684353,0.95585557590607,0.632501338788565,0.66574531117905,0.886205331481371,0.928722168694648,0.888024951528612,0.972858175142379,0.938591414215367,0.877610033031036
"Income.code",0.7687042238684,0.81225624381776,0.941117365684353,0.917790232906045,0.901212031546308,0.961233904003785,0.0587232042718983,0.928722168694648,0.875871498798154,0.820188244317853,0.805218669867013,0.877610033031036
"OLDERSIBLINGS",0.866392397701193,0.327797315796317,0.802872149301402,0.917790232906045,0.782608555198873,0.838078466800942,0.886205331481371,0.928722168694648,0.913547861095167,0.972858175142379,0.805218669867013,0.930202240939416
"SEX",0.7687042238684,0.689910053523186,0.802872149301402,0.917790232906045,0.632501338788565,0.838078466800942,0.545264048035519,0.928722168694648,0.987416829451911,0.972858175142379,0.805218669867013,0.877610033031036
"GESTAGEBIRTH",0.7687042238684,0.202271022290076,0.982636848910375,0.935203712347639,0.798891546137135,0.838078466800942,0.886205331481371,0.928722168694648,0.913547861095167,0.972858175142379,0.805218669867013,0.877610033031036
"BW",0.7687042238684,0.942996100630368,0.802872149301402,0.667261257502054,0.632501338788565,0.838078466800942,0.886205331481371,0.928722168694648,0.875871498798154,0.820188244317853,0.805218669867013,0.877610033031036
"MaternalInfection",0.94631255547832,0.942996100630368,0.982636848910375,0.917790232906045,0.783589471861272,0.774964152423795,0.886205331481371,0.928722168694648,0.875871498798154,0.820188244317853,0.805218669867013,0.877610033031036
"MPSYCH",0.94631255547832,0.941429059100151,0.982636848910375,0.917790232906045,0.798891546137135,0.66574531117905,0.545264048035519,0.928722168694648,0.913547861095167,0.972858175142379,0.805218669867013,0.877610033031036
"VITAMINDNEO",0.7687042238684,0.942996100630368,0.982636848910375,0.917790232906045,0.783589471861272,0.708361680090207,0.886205331481371,0.928722168694648,0.875871498798154,0.820188244317853,0.805218669867013,0.877610033031036
"PrePregBMI",0.7687042238684,0.327797315796317,0.802872149301402,0.917790232906045,0.632501338788565,0.838078466800942,0.656110279470122,0.928722168694648,0.875871498798154,0.820188244317853,0.805218669867013,0.877610033031036
"ANTIBIOTIC_1yr",0.7687042238684,0.702819332487282,0.802872149301402,0.917790232906045,0.782608555198873,0.838078466800942,0.886205331481371,0.928722168694648,0.913547861095167,0.860517363432277,0.809244139897959,0.962324331797128
"FORMULA_1yr",0.94631255547832,0.781681010626588,0.473760131292023,0.917790232906045,0.474720342007698,0.838078466800942,0.886205331481371,0.970315438074504,0.875871498798154,0.860517363432277,0.805218669867013,0.877610033031036
"FORMULA_6mo",0.7687042238684,0.327797315796317,0.802872149301402,0.917790232906045,0.632501338788565,0.66574531117905,0.886205331481371,0.928722168694648,0.875871498798154,0.820188244317853,0.805218669867013,0.877610033031036
"FEVER_1yr",0.866392397701193,0.586223450326411,0.982636848910375,0.917790232906045,0.783589471861272,0.66574531117905,0.64695344733623,0.928722168694648,0.875871498798154,0.860517363432277,0.940976801889209,0.926149888533872
"DAYCARE",0.94631255547832,0.574228126561784,0.802872149301402,0.917790232906045,0.783589471861272,0.838078466800942,0.197245705697094,0.928722168694648,0.875871498798154,0.860517363432277,0.938591414215367,0.877610033031036
"CURBRFEED_1yr",0.94631255547832,0.781681010626588,0.982636848910375,0.935203712347639,0.133432307137273,0.914311044971059,0.545264048035519,0.970315438074504,0.875871498798154,0.820188244317853,0.805218669867013,0.266611485161614
"Milks_1yr",0.7687042238684,0.941429059100151,0.802872149301402,0.917790232906045,0.901212031546308,0.716090960765402,0.886205331481371,0.928722168694648,0.913547861095167,0.972858175142379,0.805218669867013,0.877610033031036
"FrenchFries_1yr",0.94631255547832,0.942996100630368,0.802872149301402,0.917790232906045,0.415711492205303,0.685291448177406,0.886205331481371,0.928722168694648,0.240036845535349,0.115918482584446,0.805218669867013,0.266611485161614
"SweetFoodsDrinks_1yr",0.858334717592797,0.781681010626588,0.600032526399465,0.917790232906045,0.632501338788565,0.907276284209712,0.886205331481371,0.928722168694648,0.875871498798154,0.820188244317853,0.805218669867013,0.845262907297656
"PeanutButter_1yr",0.94631255547832,0.941429059100151,0.941117365684353,0.917790232906045,0.901212031546308,0.66574531117905,0.545264048035519,0.934498960292193,0.875871498798154,0.820188244317853,0.805218669867013,0.877610033031036
"WHSTOTHER",0.94631255547832,0.597883723075746,0.802872149301402,0.917790232906045,0.798891546137135,0.774964152423795,0.64695344733623,0.999747593237894,0.875871498798154,0.860517363432277,0.938591414215367,0.877610033031036
"VITAMIND_6mo",0.94631255547832,0.327797315796317,0.802872149301402,0.778577115523763,0.632501338788565,0.66574531117905,0.886205331481371,0.970315438074504,0.875871498798154,0.820188244317853,0.805218669867013,0.877610033031036
"Cereals_6mo",0.858334717592797,0.781681010626588,0.802872149301402,0.778577115523763,0.632501338788565,0.66574531117905,0.197245705697094,0.970315438074504,0.918518327152919,0.972858175142379,0.805218669867013,0.877610033031036
"STATE",0.94631255547832,0.941429059100151,0.982636848910375,0.917790232906045,0.783589471861272,0.838078466800942,0.545264048035519,0.970315438074504,0.913547861095167,0.972119097989565,0.805218669867013,0.877610033031036
"TRAIT",0.94631255547832,0.781681010626588,0.802872149301402,0.917790232906045,0.534164626393695,0.838078466800942,0.886205331481371,0.970315438074504,0.875871498798154,0.820188244317853,0.805218669867013,0.877610033031036
"NegativeLifeEvents",0.7687042238684,0.942996100630368,0.941117365684353,0.917790232906045,0.632501338788565,0.66574531117905,0.886205331481371,0.928722168694648,0.875871498798154,0.972858175142379,0.938591414215367,0.996412865626182
"PositiveLifeEvents",0.858334717592797,0.327797315796317,0.982636848910375,0.917790232906045,0.840159467259687,0.708361680090207,0.886205331481371,0.928722168694648,0.913547861095167,0.972858175142379,0.805218669867013,0.877610033031036
"TotalLifeEvents",0.958326130991357,0.327797315796317,0.982636848910375,0.917790232906045,0.783589471861272,0.838078466800942,0.886205331481371,0.928722168694648,0.987416829451911,0.972858175142379,0.805218669867013,0.877610033031036
