"","wunifrac.PC.1","wunifrac.PC.2","wunifrac.PC.3","wunifrac.PC.4"
"L3.1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation",0.850432583457578,0.964934381028001,0.458898459926838,0.18503572240831
"L3.ABC.transporters",0.962335375095035,0.960362748596297,0.317661213176997,0.0340704582355547
"L3.Adherens.junction",NA,NA,NA,NA
"L3.Adipocytokine.signaling.pathway",0.704777181103742,0.79178336637226,0.260777621185352,0.481273485731784
"L3.African.trypanosomiasis",0.911693152522856,0.79178336637226,0.419374459358078,0.274721790817889
"L3.Alanine..aspartate.and.glutamate.metabolism",0.911693152522856,0.960362748596297,0.239671471894449,0.0345622292861821
"L3.Aldosterone.regulated.sodium.reabsorption",0.873880795754045,0.964934381028001,0.442924480013538,0.165506910734431
"L3.Alzheimer.s.disease",0.970830885871924,0.964934381028001,0.239671471894449,0.0470367138640467
"L3.Amino.acid.metabolism",0.939012531496696,0.960362748596297,0.263312061649587,0.0423062555086729
"L3.Amino.acid.related.enzymes",0.993986742483174,0.964934381028001,0.239671471894449,0.0401147859601269
"L3.Amino.sugar.and.nucleotide.sugar.metabolism",0.970830885871924,0.975891535510117,0.239671471894449,0.0789716739076197
"L3.Aminoacyl.tRNA.biosynthesis",0.802551063391794,0.842524238760431,0.239671471894449,0.0640651852847234
"L3.Aminobenzoate.degradation",0.977891194363141,0.79178336637226,0.334632784397541,0.0567487806209608
"L3.Amoebiasis",0.0892835241027853,0.935958403670306,0.319430302620547,0.709803781857347
"L3.Amyotrophic.lateral.sclerosis..ALS.",0.939012531496696,0.79178336637226,0.265855558300658,0.0461273197529275
"L3.Antigen.processing.and.presentation",0.155442981010573,0.976983214685986,0.405594954764269,0.00533417607202114
"L3.Apoptosis",0.0892835241027853,0.960362748596297,0.912902595412798,0.0628852505533282
"L3.Arachidonic.acid.metabolism",0.970370196058745,0.891580975933237,0.557269219102212,0.0491274496520363
"L3.Arginine.and.proline.metabolism",0.873880795754045,0.947624371239614,0.25299467157641,0.0297294703760726
"L3.Arrhythmogenic.right.ventricular.cardiomyopathy..ARVC.",NA,NA,NA,NA
"L3.Ascorbate.and.aldarate.metabolism",0.939012531496696,0.842524238760431,0.265855558300658,0.0440229271846782
"L3.Atrazine.degradation",0.939012531496696,0.79178336637226,0.405594954764269,0.0471396874239817
"L3.Bacterial.chemotaxis",0.704777181103742,0.964934381028001,0.419480308056975,0.0423062555086729
"L3.Bacterial.invasion.of.epithelial.cells",0.939012531496696,0.960362748596297,0.897862023757392,0.118748778347498
"L3.Bacterial.motility.proteins",0.911693152522856,0.976983214685986,0.788699529684383,0.00870231271899698
"L3.Bacterial.secretion.system",0.993986742483174,0.917320214937352,0.263312061649587,0.0488722045424847
"L3.Bacterial.toxins",0.597608458701173,0.822857804859816,0.311714084869563,0.135298834476061
"L3.Basal.transcription.factors",0.939012531496696,0.917320214937352,0.263312061649587,0.775092888261526
"L3.Base.excision.repair",0.939012531496696,0.964934381028001,0.239671471894449,0.0401147859601269
"L3.Benzoate.degradation",0.993986742483174,0.960362748596297,0.263312061649587,0.0340704582355547
"L3.Betalain.biosynthesis",0.939012531496696,0.822857804859816,0.405594954764269,0.132469423086344
"L3.Bile.secretion",0.94219219545885,0.947624371239614,0.836605471560401,0.083192252288211
"L3.Biosynthesis.and.biodegradation.of.secondary.metabolites",0.939012531496696,0.822857804859816,0.263312061649587,0.0792241212819923
"L3.Biosynthesis.of.12...14..and.16.membered.macrolides",0.987880343167058,0.975891535510117,0.637795074215399,0.564262556862747
"L3.Biosynthesis.of.ansamycins",0.939012531496696,0.960362748596297,0.313278615472235,0.029444276703459
"L3.Biosynthesis.of.siderophore.group.nonribosomal.peptides",0.962335375095035,0.822857804859816,0.311714084869563,0.109099445392541
"L3.Biosynthesis.of.type.II.polyketide.backbone",NA,NA,NA,NA
"L3.Biosynthesis.of.type.II.polyketide.products",0.939012531496696,0.822857804859816,0.405594954764269,0.132469423086344
"L3.Biosynthesis.of.unsaturated.fatty.acids",0.987880343167058,0.822857804859816,0.317661213176997,0.0461273197529275
"L3.Biosynthesis.of.vancomycin.group.antibiotics",0.258511896123581,0.975891535510117,0.263312061649587,0.736960503198499
"L3.Biotin.metabolism",0.638924307616235,0.975891535510117,0.231036501660875,0.0434745796254651
"L3.Bisphenol.degradation",0.475509031821964,0.983720205383465,0.265855558300658,0.0254141782370767
"L3.Bladder.cancer",0.94219219545885,0.79178336637226,0.405594954764269,0.0340704582355547
"L3.Butanoate.metabolism",0.970830885871924,0.947624371239614,0.419374459358078,0.0214483242965217
