"","MaskLatencyFearResponse","MaskIntensityFacialFear..0.3.","MaskIntensityVocalDistress..0.3.","MaskIntensityBodilyFear..0.3.","MaskPresenceStartleResponse.0.no.1.yes","MaskIntensityEscapeBehavior..0.3."
"wunifrac.PC.1",0.976175507392824,0.959797172151859,0.799328425624026,0.788089409318791,0.789771611106162,0.92091217308829
"wunifrac.PC.2",0.652943578157551,0.514882238937642,0.584150654666002,0.788089409318791,0.789771611106162,0.905867579945697
"wunifrac.PC.3",0.22873503379596,0.125406343726971,0.316266227251142,0.244218939407066,0.789771611106162,0.145526505507649
"wunifrac.PC.4",0.22873503379596,0.329031415126223,0.364536723713814,0.603285834192376,0.789771611106162,0.594218129591278
"unifrac.PC.1",0.502500519760757,0.514882238937642,0.584150654666002,0.389365751655686,0.988079102727457,0.415637740214491
"unifrac.PC.2",0.652943578157551,0.514882238937642,0.584150654666002,0.554264246089593,0.988079102727457,0.933847307825297
"unifrac.PC.3",0.981680751755101,0.959797172151859,0.773845065605167,0.788089409318791,0.988079102727457,0.933847307825297
"unifrac.PC.4",0.502500519760757,0.514882238937642,0.414852778937707,0.352944285357352,0.112020478639399,0.905867579945697
"chao1",0.875664442876556,0.959797172151859,0.706421429986756,0.788089409318791,0.789771611106162,0.905867579945697
"observed_otus",0.822059444168224,0.954637615589595,0.584150654666002,0.554264246089593,0.584147564412078,0.92091217308829
"PD_whole_tree",0.652943578157551,0.75476280642412,0.450615586240485,0.389365751655686,0.584147564412078,0.594218129591278
"shannon",0.22873503379596,0.263126142818712,0.316266227251142,0.041806338648307,0.41481203844761,0.415637740214491
