"","MasksPresented","MaskMaxIntensity_Latency","MaskMaxIntensity_FacialFear","MaskMaxIntensity_VocalDistress","MaskMaxIntensity_BodilyFear","MaskMaxIntensity_StartleResponse","MaskMaxIntensity_EscapeBehavior","MaskAverageScore_Latency","MaskAverageScore_FacialFear","MaskAverageScore_VocalDistress","MaskAverageScore_BodilyFear","MaskAverageScore_StartleResponse","MaskAverageScore_EscapeBehavior","MaskSummedScore_Latency","MaskSummedScore_FacialFear","MaskSummedScore_VocalDistress","MaskSummedScore_BodilyFear","MaskSummedScore_StartleResponse","MaskSummedScore_EscapeBehavior"
"wunifrac.PC.1",0.761819098057241,0.668691969909846,0.645994407979012,0.201383040541428,0.227410081385602,0.862545280212517,0.623956198822405,0.0832340047116738,0.286623213210833,0.300155448847067,0.361765831104706,0.780390822376415,0.0413320360416838,0.0832340047116738,0.286623213210833,0.300155448847067,0.361765831104706,0.780390822376415,0.0413320360416838
"wunifrac.PC.2",0.590013121686181,0.93653273073882,0.95857411600071,0.958791743025358,0.858914377459786,0.862545280212517,0.818198018101012,0.972227026441854,0.978897503256853,0.983895994630959,0.875271572259478,0.780390822376415,0.59387163921917,0.972227026441854,0.978897503256853,0.983895994630959,0.875271572259478,0.780390822376415,0.59387163921917
"wunifrac.PC.3",0.941758819910721,0.990715589952181,0.997276535468928,0.958791743025358,0.858914377459786,0.862545280212517,0.623956198822405,0.972227026441854,0.978897503256853,0.983895994630959,0.909329192427315,0.906970571624565,0.35341680708342,0.972227026441854,0.978897503256853,0.983895994630959,0.909329192427315,0.906970571624565,0.35341680708342
"wunifrac.PC.4",0.941758819910721,0.93653273073882,0.95857411600071,0.958791743025358,0.858914377459786,0.862545280212517,0.755171289815408,0.972227026441854,0.996996577887752,0.983895994630959,0.875271572259478,0.787937317259944,0.516601221993647,0.972227026441854,0.996996577887752,0.983895994630959,0.875271572259478,0.787937317259944,0.516601221993647
"unifrac.PC.1",0.847101536360224,0.93653273073882,0.95857411600071,0.958791743025358,0.858914377459786,0.862545280212517,0.755171289815408,0.972227026441854,0.978897503256853,0.983895994630959,0.907453526506155,0.871641326958941,0.132958275302356,0.972227026441854,0.978897503256853,0.983895994630959,0.907453526506155,0.871641326958941,0.132958275302356
"unifrac.PC.2",0.847101536360224,0.93653273073882,0.95857411600071,0.958791743025358,0.858914377459786,0.862545280212517,0.852532968534467,0.972227026441854,0.978897503256853,0.983895994630959,0.907453526506155,0.780390822376415,0.8836259408558,0.972227026441854,0.978897503256853,0.983895994630959,0.907453526506155,0.780390822376415,0.8836259408558
"unifrac.PC.3",0.941758819910721,0.920760831737607,0.645994407979012,0.676370436778459,0.999586156904217,0.862545280212517,0.755171289815408,0.972227026441854,0.978897503256853,0.983895994630959,0.909329192427315,0.906970571624565,0.971118442663829,0.972227026441854,0.978897503256853,0.983895994630959,0.909329192427315,0.906970571624565,0.971118442663829
"unifrac.PC.4",0.941758819910721,0.755892487008511,0.645994407979012,0.201383040541428,0.858914377459786,0.862545280212517,0.623956198822405,0.972227026441854,0.978897503256853,0.983895994630959,0.875271572259478,0.906970571624565,0.35341680708342,0.972227026441854,0.978897503256853,0.983895994630959,0.875271572259478,0.906970571624565,0.35341680708342
"chao1",0.925998623971533,0.93653273073882,0.95857411600071,0.958791743025358,0.858914377459786,0.862545280212517,0.623956198822405,0.972227026441854,0.996996577887752,0.983895994630959,0.875271572259478,0.780390822376415,0.35341680708342,0.972227026441854,0.996996577887752,0.983895994630959,0.875271572259478,0.780390822376415,0.35341680708342
"observed_otus",0.941758819910721,0.93653273073882,0.95857411600071,0.958791743025358,0.858914377459786,0.862545280212517,0.755171289815408,0.972227026441854,0.996996577887752,0.983895994630959,0.875271572259478,0.787937317259944,0.365562264582749,0.972227026441854,0.996996577887752,0.983895994630959,0.875271572259478,0.787937317259944,0.365562264582749
"PD_whole_tree",0.941758819910721,0.93653273073882,0.95857411600071,0.958791743025358,0.858914377459786,0.862545280212517,0.778493976121627,0.972227026441854,0.978897503256853,0.983895994630959,0.907453526506155,0.906970571624565,0.392826225273733,0.972227026441854,0.978897503256853,0.983895994630959,0.907453526506155,0.906970571624565,0.392826225273733
"shannon",0.941758819910721,0.920760831737607,0.906959112869492,0.958791743025358,0.858914377459786,0.862545280212517,0.623956198822405,0.972227026441854,0.978897503256853,0.983895994630959,0.907453526506155,0.871641326958941,0.35341680708342,0.972227026441854,0.978897503256853,0.983895994630959,0.907453526506155,0.871641326958941,0.35341680708342
