"","neo.WM","neo.GM","neo.CSF","neo.ICV","neo.Hippocampus_LR","neo.Amygdala_LR","neo.mPFC","yr1.WM","yr1.CSF","yr1.GM","yr1.ICV","yr1.Hippocampus_LR","yr1.Amygdala_LR","yr1.mPFC"
"wunifrac.PC.1",0.641855382344502,0.89811002415178,0.785549984361197,0.688961551276172,0.633522216606391,0.153422412964696,0.730019303361463,0.864413968287209,0.98982708318389,0.935443701453431,0.955522119804814,0.993793413321017,0.840673111147903,0.891074533709552
"wunifrac.PC.2",0.962167109162817,0.98385181660483,0.68686249985837,0.81278472281051,0.633522216606391,0.990192037272339,0.969025013476856,0.864413968287209,0.573183215146021,0.935443701453431,0.955522119804814,0.993793413321017,0.374883095403234,0.967827581238179
"wunifrac.PC.3",0.888851486439266,0.98151785287327,0.683920345664582,0.81278472281051,0.926502119293329,0.990192037272339,0.969025013476856,0.864413968287209,0.270974305947928,0.935443701453431,0.955522119804814,0.699217695179109,0.840673111147903,0.891074533709552
"wunifrac.PC.4",0.641855382344502,0.98151785287327,0.46904199629987,0.688961551276172,0.633522216606391,0.990192037272339,0.795131899046787,0.864413968287209,0.726629478187676,0.935443701453431,0.955522119804814,0.993793413321017,0.789777112772456,0.967827581238179
"unifrac.PC.1",0.641855382344502,0.98151785287327,0.683920345664582,0.688961551276172,0.633522216606391,0.277307802983361,0.730019303361463,0.864413968287209,0.270974305947928,0.935443701453431,0.955522119804814,0.993793413321017,0.973947003114351,0.967827581238179
"unifrac.PC.2",0.742860144687641,0.89811002415178,0.154517943399863,0.688961551276172,0.633522216606391,0.990192037272339,0.730019303361463,0.981299969386764,0.656858347354951,0.935443701453431,0.955522119804814,0.699217695179109,0.840673111147903,0.997487114182595
"unifrac.PC.3",0.641855382344502,0.89811002415178,0.940489923575298,0.688961551276172,0.633522216606391,0.181915770149324,0.730019303361463,0.864413968287209,0.726629478187676,0.935443701453431,0.955522119804814,0.993793413321017,0.840673111147903,0.967827581238179
"unifrac.PC.4",0.888851486439266,0.98151785287327,0.46904199629987,0.81278472281051,0.814330635030869,0.990192037272339,0.969025013476856,0.864413968287209,0.656858347354951,0.935443701453431,0.955522119804814,0.993793413321017,0.976046328467536,0.967827581238179
"chao1",0.641855382344502,0.98151785287327,0.718606244488759,0.81278472281051,0.633522216606391,0.489166757768121,0.795131899046787,0.864413968287209,0.98982708318389,0.935443701453431,0.955522119804814,0.993793413321017,0.976046328467536,0.967827581238179
"observed_otus",0.641855382344502,0.98151785287327,0.926802014438489,0.81278472281051,0.814330635030869,0.690162837824482,0.795131899046787,0.864413968287209,0.98982708318389,0.935443701453431,0.955522119804814,0.993793413321017,0.976046328467536,0.967827581238179
"PD_whole_tree",0.779778263825632,0.98151785287327,0.940489923575298,0.81278472281051,0.747952157514022,0.572281572626139,0.795131899046787,0.864413968287209,0.726629478187676,0.935443701453431,0.955522119804814,0.993793413321017,0.840673111147903,0.967827581238179
"shannon",0.83413320137247,0.98151785287327,0.683920345664582,0.81278472281051,0.747952157514022,0.990192037272339,0.969025013476856,0.864413968287209,0.726629478187676,0.935443701453431,0.955522119804814,0.993793413321017,0.789777112772456,0.967827581238179
