"","diff.WM","diff.GM","diff.CSF","diff.ICV","diff.Hippocampus_LR","diff.Amygdala_LR","diff.mPFC"
"chao1",0.907025391437875,0.81998392566968,0.876582588895033,0.918355820820612,0.953100684418911,0.817613511107319,0.435132308435889
"observed_otus",0.907025391437875,0.81998392566968,0.876582588895033,0.918355820820612,0.953100684418911,0.817613511107319,0.47881642245612
"PD_whole_tree",0.907025391437875,0.81998392566968,0.876582588895033,0.918355820820612,0.953100684418911,0.895542850941536,0.2705907666283
"shannon",0.907025391437875,0.81998392566968,0.876582588895033,0.918355820820612,0.953100684418911,0.817613511107319,0.692393594632841
"wunifrac.PC.1",0.907025391437875,0.81998392566968,0.641370872497992,0.918355820820612,0.953100684418911,0.817613511107319,0.2705907666283
"wunifrac.PC.2",0.907025391437875,0.683713068272829,0.876582588895033,0.918355820820612,0.953100684418911,0.817613511107319,0.692393594632841
"wunifrac.PC.3",0.907025391437875,0.683713068272829,0.876582588895033,0.918355820820612,0.768186552996659,0.895542850941536,0.435132308435889
"wunifrac.PC.4",0.986091125509354,0.683713068272829,0.477805810094379,0.918355820820612,0.953100684418911,0.807737457054204,0.635571259022518
"unifrac.PC.1",0.907025391437875,0.683713068272829,0.511483726578942,0.918355820820612,0.953100684418911,0.817613511107319,0.47881642245612
"unifrac.PC.2",0.907025391437875,0.683713068272829,0.511483726578942,0.918355820820612,0.687504539766765,0.817613511107319,0.612106471614498
"unifrac.PC.3",0.907025391437875,0.81998392566968,0.641370872497992,0.918355820820612,0.953100684418911,0.817613511107319,0.435132308435889
"unifrac.PC.4",0.907025391437875,0.683713068272829,0.876582588895033,0.918355820820612,0.953100684418911,0.896100263255168,0.706436837450538
