"","wunifrac.PC.1","wunifrac.PC.2","wunifrac.PC.3","wunifrac.PC.4"
"L2.Amino.Acid.Metabolism",-1.32769584439219e-08,-1.25974426679515e-08,-4.16588444558041e-09,-6.58437698532368e-11
"L2.Biosynthesis.of.Other.Secondary.Metabolites",-1.86241697462128e-08,-8.62214516809408e-08,-5.24211019178854e-08,2.49055154524247e-08
"L2.Cancers",-5.42252376308038e-07,-6.66060232974835e-07,-7.13236549171216e-07,1.18591533621569e-07
"L2.Carbohydrate.Metabolism",-6.91127139781435e-09,-1.06611737502993e-08,-3.8656799707648e-09,1.04208484328727e-09
"L2.Cardiovascular.Diseases",2.26589213419229e-05,-4.99984508004121e-07,-1.89559896361486e-05,-1.54433291723466e-05
"L2.Cell.Communication",NA,NA,NA,NA
"L2.Cell.Growth.and.Death",-2.54550532970872e-07,-2.37959375127924e-07,-9.38200207510507e-08,7.46142853856856e-09
"L2.Cell.Motility",-6.85835203588545e-08,-6.23204757168343e-08,-1.77900485979346e-08,2.273724100085e-09
"L2.Cellular.Processes.and.Signaling",-1.88313894897952e-08,-2.87665843667703e-08,-1.09643121400963e-08,3.68484035281727e-09
"L2.Circulatory.System",7.15890523607461e-06,-3.73620527086501e-07,-6.61074499665703e-06,-5.08288740854741e-06
"L2.Digestive.System",1.13481587983186e-05,4.93465217096494e-06,-2.83434263617217e-07,8.14620413196874e-07
"L2.Endocrine.System",5.02869979172341e-07,-4.07763427457274e-08,-1.96301675618293e-07,-1.14136275002473e-07
"L2.Energy.Metabolism",-1.91035209291936e-08,-2.06515079294814e-08,-7.21720823696444e-09,1.38330430291637e-09
"L2.Environmental.Adaptation",-7.24976399143628e-07,-8.79253418846093e-07,-2.90864911156501e-07,-7.34469544158161e-08
"L2.Enzyme.Families",-5.73991686127683e-08,-6.02675518731827e-08,-1.97204493311117e-08,2.7004664950011e-09
"L2.Excretory.System",1.8707753495724e-05,3.00865197781201e-07,-3.31030800746376e-06,-3.5171295899515e-06
"L2.Folding..Sorting.and.Degradation",-3.12405190268326e-08,-4.51135123655727e-08,-2.00873328127914e-08,-6.2959496390055e-10
"L2.Genetic.Information.Processing",-7.09399453160904e-08,-5.30374857719954e-08,-1.68553126546018e-08,-1.91866375216366e-10
"L2.Glycan.Biosynthesis.and.Metabolism",7.4812318633815e-08,7.97532687428329e-09,-2.08246996089187e-08,6.83720925339845e-09
"L2.Immune.System",-1.30959641425696e-07,-7.59517371026247e-07,-4.61339837018929e-07,-2.76465613751933e-07
"L2.Immune.System.Diseases",-1.15530127532377e-06,-1.4378239585262e-06,-7.56732800793895e-07,9.3106061592738e-07
"L2.Infectious.Diseases",-2.10484027712522e-07,-3.79404580563732e-07,-1.22033318342646e-07,-4.05969349402094e-09
"L2.Lipid.Metabolism",-2.09616929832114e-08,-3.87421855660221e-08,-2.06527010379016e-08,6.22310581884416e-10
"L2.Membrane.Transport",-1.81797911680012e-08,-1.2869088499872e-08,-2.49016288298313e-09,2.02291357125971e-09
"L2.Metabolic.Diseases",1.86962971062396e-07,-1.08100312942172e-06,-5.70565815010368e-07,2.06300982557278e-08
"L2.Metabolism",-4.39946589195514e-08,-4.51472016046552e-08,-2.24991060981725e-08,5.9893005182392e-09
"L2.Metabolism.of.Cofactors.and.Vitamins",-3.3086580928701e-08,-2.7294835029258e-08,-8.51384874078269e-09,2.28654477578565e-09
"L2.Metabolism.of.Other.Amino.Acids",-5.48181555812687e-08,-7.56125195031293e-08,-3.46484968700687e-08,9.07000517314777e-09
"L2.Metabolism.of.Terpenoids.and.Polyketides",-6.64689371101666e-08,-6.82091046645766e-08,-2.56634289125726e-08,-1.17572635359075e-10
"L2.Nervous.System",1.22261129765668e-06,-9.3850510112597e-07,-4.20648504316102e-07,-3.01112020609276e-07
"L2.Neurodegenerative.Diseases",-1.23322428491723e-06,-1.49604114202009e-07,-6.4134284490824e-07,2.22339873126014e-08
"L2.Nucleotide.Metabolism",-3.71113931552506e-08,-3.16769637721842e-08,-1.0500508420145e-08,1.42808402682999e-09
"L2.Poorly.Characterized",-2.24957765997964e-08,-2.60182057948464e-08,-9.61614094318428e-09,3.25067731815177e-09
"L2.Replication.and.Repair",-1.46737739532918e-08,-1.44104154151162e-08,-5.12451190644975e-09,-4.33102793749669e-10
"L2.Sensory.System",NA,NA,NA,NA
"L2.Signal.Transduction",-9.80586428125731e-08,-8.39608125850574e-08,-3.02854079670766e-08,8.99285760698873e-09
"L2.Signaling.Molecules.and.Interaction",9.76103013486698e-07,-2.22941733407722e-07,-1.14661831623345e-07,-1.63729894589708e-08
"L2.Transcription",-6.24393988127927e-08,-5.09678088973023e-08,-1.1744340380965e-08,1.31388540217188e-09
"L2.Translation",-3.01888407416073e-08,-2.38249784706524e-08,-8.83459778349161e-09,4.22472974861212e-11
"L2.Transport.and.Catabolism",1.23532703352135e-06,4.27860815415972e-07,-8.38517101987861e-08,-5.17285776954199e-08
"L2.Xenobiotics.Biodegradation.and.Metabolism",-1.05035090576294e-07,-8.00289452002815e-08,-3.01181477958245e-08,-2.90374338192865e-09
