"","wunifrac.PC.1","wunifrac.PC.2","wunifrac.PC.3","wunifrac.PC.4","unifrac.PC.1","unifrac.PC.2","unifrac.PC.3","unifrac.PC.4","chao1","observed_otus","PD_whole_tree","shannon"
"MAGE",0.44533993262141,0.00976244757553226,0.977937235842056,0.95585557590607,0.316250669394282,0.828217576500764,0.40320543361158,0.272788589578594,0.9640257614586,0.939849639497858,0.879929450826906,0.679417729624347
"PAGE",0.00498515149051595,0.858885709562622,0.179319345803951,0.618589809803427,0.014482990332445,0.671498589238491,0.114977175800154,0.18615831283111,0.547419686748846,0.76571280157179,0.601817149270822,0.494755616776
"MEDUY",0.928061822233332,0.506040597902683,0.982636848910375,0.580069236622495,0.464673829649331,0.850571516446605,0.870340237754493,0.735132797765248,0.355345236361376,0.504045245101261,0.984167176145192,0.640850196241965
"PEDUY",0.693080215487727,0.0189629083396947,0.617608271230357,0.948409002999721,0.211494181981993,0.166436327794762,0.633792583519126,0.265172540557149,0.582766374440651,0.781186656021131,0.866382541449498,0.390802938686889
"Income.code",0.187057416712303,0.533043160005405,0.605173225113266,0.740534623358517,0.853170353546767,0.961233904003785,0.00183510013349682,0.563583236692502,0.196011080560361,0.220640421845581,0.358603417108642,0.62941229343677
"OLDERSIBLINGS",0.487345723706921,0.0500237985609893,0.404883909782665,0.240773558856208,0.418499955467852,0.594057218378849,0.804205730416166,0.356649384955503,0.780932549021569,0.753522388401605,0.584340072339505,0.872064600880703
"SEX",0.274531670054542,0.280275959243794,0.329864133030172,0.209246404171804,0.263146749166708,0.558224728525251,0.15335551350999,0.124185917874436,0.987416829451911,0.754930154436243,0.603914002400259,0.580644608905996
"GESTAGEBIRTH",0.169030100209459,0.0134479989667994,0.896909160614074,0.876753480325912,0.673464259695087,0.566087075971171,0.695439169437186,0.352522956429546,0.754471107497292,0.769889487663656,0.480651426706214,0.604949044992235
"BW",0.133709890686993,0.942996100630368,0.410919693415215,0.0208519142969392,0.251472143897862,0.537091020776708,0.835388592816946,0.664993086382125,0.197157088212737,0.129394845263611,0.399085003638339,0.367501437958555
"MaternalInfection",0.785917556978762,0.902576911291963,0.728472218253653,0.56417031475674,0.509913868904649,0.33904681668541,0.684250348310532,0.489418631962479,0.437900253489529,0.299264423881114,0.359967636485505,0.767908778902156
"MPSYCH",0.837260681152337,0.764911110518873,0.951415883231587,0.447762255160155,0.69352570589171,0.158497183892811,0.11816308035645,0.607812483879076,0.711891154937504,0.843624707193364,0.571644702801571,0.762739650883374
"VITAMINDNEO",0.238504048217314,0.829372506202922,0.835585880626177,0.440992841238762,0.612179274891618,0.243499327531009,0.821342622289373,0.440974542180516,0.214519234600321,0.172803453150102,0.438939229686923,0.272802312778521
"PrePregBMI",0.231218395863806,0.0881515804887884,0.42652582931637,0.326997286009174,0.315240415844985,0.681155976878009,0.246041354801296,0.493896462555399,0.522378158024808,0.300606263099877,0.430114617504463,0.22346615567532
"ANTIBIOTIC_1yr",0.616359118667663,0.338737058792972,0.189390222229702,0.7845544705079,0.987262071334438,0.836096190981507,0.904996167078805,0.017577690699254,0.635734654288986,0.549356412321309,0.291520752296976,0.96022843165848
"FEVER_1yr",0.479309995768523,0.201514311049704,0.878206734750592,0.80306645379279,0.55793426175038,0.101482295210661,0.222390247521829,0.583535972877474,0.481047411200469,0.469907445192931,0.911571276830171,0.839323336483822
"DAYCARE",0.680876415236232,0.179446289550557,0.371352110264714,0.214701745401932,0.610990864479608,0.638993068379464,0.0184917849091025,0.404473499163175,0.236472991323336,0.366932639704782,0.776359117899402,0.764186849966813
"CURBRFEED_1yr",0.809596373698877,0.464123100059537,0.944808927370037,0.858394475025125,0.00416975959803978,0.885738824815713,0.151948605703393,0.939993080634675,0.147396058812506,0.0892027334740937,0.113857931078425,0.0166632178226009
"FORMULA_1yr",0.6316744517404,0.340770610732339,0.0761262427992433,0.785888589761266,0.0748304778786368,0.263599017009605,0.605529969680982,0.527216995266167,0.0337600622758511,0.0212526580569749,0.333883861610177,0.0362084211806846
"Milks_1yr",0.0612012606089811,0.715626976621532,0.213035394641096,0.702011324795433,0.896629034905462,0.268534110287026,0.545326370981789,0.522808028645434,0.799354378458271,0.879330777512719,0.174799053471905,0.411487843282832
"FrenchFries_1yr",0.688460768436546,0.927189077407506,0.243623315697738,0.167746983568588,0.0389729523942471,0.192738219799896,0.54990160882526,0.270895209976814,0.00750115142297966,0.00362245258076393,0.0296597811224749,0.0093953661272833
"SweetFoodsDrinks_1yr",0.384218681494394,0.446443155545383,0.0375020328999666,0.70975156830241,0.285416663641947,0.815630720670271,0.876506182525159,0.521749475693998,0.179826531175443,0.223253767741867,0.116376903916518,0.0792433975591552
"PeanutButter_1yr",0.887168020760925,0.741954428647205,0.534537478274314,0.285734203037617,0.901212031546308,0.0891536839287851,0.127517242682055,0.700874220219144,0.344077906953775,0.307570591619195,0.354023761963654,0.561711427057751
"CURBRFEED_6mo",0.234006725854311,0.793592584960422,0.724928650239924,0.502892020759299,0.24148838010062,0.727768795443656,0.26686102289348,0.760223873637918,0.355303099946854,0.195807161030003,0.323068238851838,0.135470003921505
