"","Summed","Average","Max","Episode3.1","Episode3.2","Episode3.3","IBQr_fear"
"AgeAt1yrVisit",0.287135741794309,0.284995429893129,0.472730963497317,0.497786697142246,0.138343841627876,0.551311636440788,0.33784446081155
"MAGE",0.71272271742207,0.711831793695802,0.875869525795898,0.530761622447207,0.964966012730355,0.786481337187486,0.0326434648581871
"PAGE",0.620926252155192,0.618492852797166,0.922603889222187,0.509480114792886,0.509480114792886,0.994791854001159,0.772732415015674
"MEDUY",0.897773287621823,0.897605681443482,0.332319339655077,0.989449372905112,0.760742437491337,0.569916177493639,0.124190303780051
"PEDUY",0.044268631476344,0.0444792084429911,0.144019439368625,0.113065481523064,0.138845969833564,0.0548049997529229,0.0960798137683727
"Income.code",0.890934071200227,0.891187456344658,0.798048154203806,0.922297181942132,0.628274316343864,0.865978887783411,0.480805102183884
"OLDERSIBLINGS",0.627803850339439,0.628112126546958,0.983567218042377,0.69735401580194,0.332544028332752,0.964673936705032,0.465178267026843
"SEX",0.984233833430209,0.980606093400858,0.932886499749065,0.87387787187247,0.455770199842841,0.411146403931453,0.418316423339598
"GESTAGEBIRTH",0.907623328768501,0.907705279426568,0.991234608031133,0.608375672315212,0.803646836696695,0.967024595784193,0.205539950446897
"BW",0.219357129769984,0.219873043318993,0.201660636459985,0.297702279133067,0.146461014801161,0.499659523726128,0.011640885022742
"MaternalInfection",0.227869386968482,0.227271882943046,0.0831839770002783,0.537756129055565,0.231283129892533,0.229059610489808,0.17688318995068
"MPSYCH",0.135274508390571,0.135003076013515,0.116187524714647,0.161283565209842,0.482251365336586,0.107146435873266,0.7623824816245
"VITAMINDNEO",0.627803850339439,0.628112126546958,0.634713613206424,0.332544028332753,0.332544028332753,0.593754299282741,0.693883273337282
"PrePregBMI",0.214295799374065,0.214898538628685,0.543763347290833,0.751228393668783,0.0282699874164428,0.494719055570366,0.0968986229460491
"ANTIBIOTIC_1yr",0.44471161674809,0.445425289252905,0.243946411914544,0.569735029326486,0.151409573708203,0.935504026668375,0.591917452772977
"FEVER_1yr",0.0427690392279588,0.0426446932354024,0.029429486916936,0.223524891218514,0.0958381312313879,0.02923387720296,0.589445082265657
"DAYCARE",0.665573909806445,0.665261327054691,0.195836871218253,0.677848245681784,0.677848245681784,0.313391570324107,0.768336431870053
"CURBRFEED_1yr",0.968257655373304,0.965000625253047,0.467658123320374,0.872140472382918,0.91383576255345,0.890205359066802,0.981886978243489
"FORMULA_1yr",0.659139951112572,0.655585875209567,0.965201855796831,0.740333081877328,0.977809194739996,0.191169151212721,0.680425700436441
"Milks_1yr",0.202007914211782,0.201496481558912,0.243946411914544,0.569735029326485,0.151409573708203,0.215312052234734,0.852320514506853
"FrenchFries_1yr",0.215328504542038,0.214394799300884,0.234450099890428,0.465875437631484,0.296968069935857,0.179172268720386,0.575102348179191
"SweetFoodsDrinks_1yr",0.596164867641702,0.597035115738696,0.832761837562938,0.321528270655179,0.415303758102257,0.759958510067747,0.284823148049962
"PeanutButter_1yr",0.270273813813005,0.270947337891826,0.614667633646335,0.148033157729326,0.222349267922735,0.776273308925393,0.804422735257122
"CURBRFEED_6mo",0.59243993720017,0.589434568209889,0.729670462854834,0.887546082637672,0.887546082637672,0.323933857428923,0.936784314414763
"FORMULA_6mo",0.590561289197417,0.594063292865084,0.441746043329703,0.548622376639257,0.234531397895419,0.769008605012193,0.314780665011483
"WHSTOTHER",0.256261237291369,0.256108064523191,0.667479263665913,0.467770488951695,0.230732713431652,0.314385355431163,0.975847873931688
"VITAMIND_6mo",0.383635392884446,0.383258117132982,0.504033300447973,0.409846779879751,0.409846779879751,0.572610589148461,0.594984122680339
"Cereals_6mo",0.482080843443451,0.485168932690145,0.650544548213152,0.41814847895008,0.41814847895008,0.831780277198645,0.95573750839767
"NegativeLifeEvents",0.364078266067618,0.364593851032322,0.119348996879717,0.37291029467429,0.595608312603077,0.399759149866831,0.775770943470721
"PositiveLifeEvents",0.195788353663724,0.197051483793484,0.227463049710596,0.251136532886971,0.018412472130602,0.971042864907745,0.231758635078015
"TotalLifeEvents",0.447854035713366,0.449654921104764,0.770490696348858,0.532494762387962,0.0402641605669534,0.630217209027306,0.291530641442939
"StateAnxiety",0.886033631442939,0.884058799025256,0.529154221593112,0.92208281240691,0.737702443903029,0.91456858402632,0.354326680912853
"TraitAnxiety",0.346609917037397,0.345667633530284,0.326160643921129,0.248196194589991,0.470110230685505,0.595620127752407,0.174295126317193
