"","wunifrac.PC.1","wunifrac.PC.2","wunifrac.PC.3","wunifrac.PC.4"
"L3.1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation",0.844441186885517,0.988722178388852,0.0493559172805401,0.809532023205016
"L3.ABC.transporters",0.2486561290873,0.0651739077032529,0.649537662300447,0.587911162501728
"L3.Adherens.junction",NA,NA,NA,NA
"L3.Adipocytokine.signaling.pathway",0.17066995220736,0.222814691654969,0.504328103093162,0.522505436690895
"L3.African.trypanosomiasis",0.0944462552393336,0.014509896120809,0.18065091861751,0.0700679104121353
"L3.Alanine..aspartate.and.glutamate.metabolism",0.98929291605357,0.442715147881083,0.591334715329796,0.860184413388612
"L3.Aldosterone.regulated.sodium.reabsorption",NA,NA,NA,NA
"L3.Alzheimer.s.disease",0.725429929821042,0.389487343988424,0.528400934368489,0.626738073386017
"L3.Amino.acid.metabolism",0.350820152015967,0.127339009832089,0.851450025290566,0.572535747261435
"L3.Amino.acid.related.enzymes",0.596433391379331,0.280970444929393,0.589312943585806,0.975565688424506
"L3.Amino.sugar.and.nucleotide.sugar.metabolism",0.966597663698908,0.326660727710188,0.703421732640937,0.76188148197016
"L3.Aminoacyl.tRNA.biosynthesis",0.492495344251981,0.207964646462605,0.505686570265659,0.934576052137907
"L3.Aminobenzoate.degradation",0.923885555998719,0.478355657743236,0.64119565582497,0.770651348620653
"L3.Amoebiasis",0.968631638988635,0.137335029347158,0.274711152897059,0.0509056160522727
"L3.Amyotrophic.lateral.sclerosis..ALS.",0.545523812763222,0.737696884485283,0.393367859098342,0.120131267794698
"L3.Antigen.processing.and.presentation",0.840755259008097,0.50706516113193,0.560564588240038,0.85143590358128
"L3.Apoptosis",0.651458996637961,0.694690302220554,0.22421281722756,0.110585965859153
"L3.Arachidonic.acid.metabolism",0.798954248725682,0.237733290427353,0.727156977539623,0.409493204193345
"L3.Arginine.and.proline.metabolism",0.65014978955645,0.309003673506718,0.673315794030369,0.900412148859886
"L3.Arrhythmogenic.right.ventricular.cardiomyopathy..ARVC.",NA,NA,NA,NA
"L3.Ascorbate.and.aldarate.metabolism",0.551869846441062,0.304170588398892,0.601121247355536,0.128773189098568
"L3.Atrazine.degradation",0.102171788080504,0.0301679029317095,0.955794618477565,0.5174128434568
"L3.Bacterial.chemotaxis",0.26622869192982,0.109711357575133,0.646049643576335,0.781228524586984
"L3.Bacterial.invasion.of.epithelial.cells",0.0937468124564698,0.0017956626570733,0.579364299078577,0.0710454509315238
"L3.Bacterial.motility.proteins",0.49147735809637,0.12269194579433,0.478693862675861,0.897712542117883
"L3.Bacterial.secretion.system",0.663807539453718,0.32600535634773,0.43497813009804,0.838315675464229
"L3.Bacterial.toxins",0.88682611070152,0.244425695600528,0.789983104501147,0.797889432641713
"L3.Basal.transcription.factors",0.473502315835481,0.945509136537828,0.385727269125342,0.451268428288329
"L3.Base.excision.repair",0.573453711946864,0.233075431675195,0.618471508690424,0.838035577307013
"L3.Benzoate.degradation",0.410917871519216,0.184454680547519,0.636486699234553,0.4042148097113
"L3.Betalain.biosynthesis",0.945184374167102,0.209181899408965,0.463647184846362,0.109941021335903
