"","MaskLatencyFearResponse","MaskIntensityFacialFear..0.3.","MaskIntensityVocalDistress..0.3.","MaskIntensityBodilyFear..0.3.","MaskPresenceStartleResponse.0.no.1.yes","MaskIntensityEscapeBehavior..0.3."
"wunifrac.PC.1",0.00146068821021283,0.0099148723008653,0.0120288327445532,0.0145278473445327,0.0637073825949006,0.000100405050888597
"wunifrac.PC.2",0.237789435296123,0.465204696393013,0.285330185260438,0.407035526272005,0.21091134561002,0.354865180821435
"wunifrac.PC.3",0.97848730796373,0.74969915871594,0.993170160416953,0.851544536160404,0.871777669484035,0.188764717714917
"wunifrac.PC.4",0.868189035072352,0.948167152641022,0.828522479680406,0.392901733484335,0.33970894945344,0.359646531596493
"unifrac.PC.1",0.363276390795391,0.657822071711631,0.494693776999137,0.68341954012675,0.552495571249235,0.0128341096596412
"unifrac.PC.2",0.778114295494775,0.717201494828987,0.954694907591606,0.650062725661902,0.239339102011727,0.86270840266474
"unifrac.PC.3",0.480293292586913,0.40146817988738,0.547819811587742,0.892079917343664,0.86298283792314,0.976495182365547
"unifrac.PC.4",0.158569235887601,0.187959989843814,0.171955263596179,0.194553908382987,0.821150432453733,0.104450771665901
"chao1",0.997158497878951,0.910627194436423,0.696508520394035,0.291322214066758,0.230954842492465,0.156807251288142
"observed_otus",0.856477702673744,0.930335445380778,0.92148464833129,0.418415664899875,0.371084422547993,0.244586099283324
"PD_whole_tree",0.618903458273427,0.690632161109173,0.774605796058156,0.745416291329091,0.904296203762117,0.293647799209037
"shannon",0.742746870897198,0.702792656328438,0.964574715581417,0.695302183531691,0.565031912284816,0.20828824086363
