"","MasksPresented","MaskMaxIntensity_Latency","MaskMaxIntensity_FacialFear","MaskMaxIntensity_VocalDistress","MaskMaxIntensity_BodilyFear","MaskMaxIntensity_StartleResponse","MaskMaxIntensity_EscapeBehavior","MaskAverageScore_Latency","MaskAverageScore_FacialFear","MaskAverageScore_VocalDistress","MaskAverageScore_BodilyFear","MaskAverageScore_StartleResponse","MaskAverageScore_EscapeBehavior","MaskSummedScore_Latency","MaskSummedScore_FacialFear","MaskSummedScore_VocalDistress","MaskSummedScore_BodilyFear","MaskSummedScore_StartleResponse","MaskSummedScore_EscapeBehavior"
"wunifrac.PC.1",0.126969849676207,0.0557243308258205,0.150932255758079,0.0285760294822442,0.0189508401154668,0.195276309497987,0.148721955921139,0.00693616705930615,0.0238852677675694,0.0250129540705889,0.0301471525920588,0.0857863161204116,0.00344433633680698,0.00693616705930615,0.0238852677675694,0.0250129540705889,0.0301471525920588,0.0857863161204116,0.00344433633680698
"wunifrac.PC.2",0.0491677601405151,0.796223012326215,0.856578370240152,0.736266719700427,0.496493904629657,0.70860552641122,0.750014849925928,0.281896481099988,0.57060257998704,0.342020020621835,0.392920717622577,0.220465912470633,0.494893032682641,0.281896481099988,0.57060257998704,0.342020020621835,0.392920717622577,0.220465912470633,0.494893032682641
"wunifrac.PC.3",0.879406014855386,0.990715589952181,0.997276535468928,0.864917149888175,0.787338179338137,0.622749647114819,0.116616440291413,0.972227026441854,0.73417312744264,0.983895994630959,0.865577713625368,0.882840219936081,0.141679253984092,0.972227026441854,0.73417312744264,0.983895994630959,0.865577713625368,0.882840219936081,0.141679253984092
"wunifrac.PC.4",0.471729449105245,0.705775078332702,0.806863996742284,0.957776531064129,0.382097225015027,0.548808625387832,0.542862097161944,0.835693886322854,0.996996577887752,0.863432458631299,0.405053683196063,0.356968263395503,0.387450916495235,0.835693886322854,0.996996577887752,0.863432458631299,0.405053683196063,0.356968263395503,0.387450916495235
"unifrac.PC.1",0.282367178786741,0.670877034849889,0.878692939667318,0.587318263354595,0.525443398209743,0.832573517868713,0.495257287699086,0.399459729154609,0.727604477162995,0.536353805428127,0.669915368083842,0.554535256820067,0.0221597125503927,0.399459729154609,0.727604477162995,0.536353805428127,0.669915368083842,0.554535256820067,0.0221597125503927
"unifrac.PC.2",0.230996405209642,0.434351191795913,0.475123156793403,0.565796537393186,0.667371984212999,0.393451071354659,0.852532968534467,0.732830815925865,0.626651810464469,0.976767089731806,0.635155776121735,0.260130274125472,0.809990445784483,0.732830815925865,0.626651810464469,0.976767089731806,0.635155776121735,0.260130274125472,0.809990445784483
"unifrac.PC.3",0.708528031289301,0.245967473039831,0.161498601994753,0.169092609194615,0.999586156904217,0.589170159714276,0.566378467361556,0.466533046576782,0.36877711414381,0.517155337002116,0.909329192427315,0.877673014543919,0.971118442663829,0.466533046576782,0.36877711414381,0.517155337002116,0.909329192427315,0.877673014543919,0.971118442663829
"unifrac.PC.4",0.635877222126413,0.125982081168085,0.0839628070669131,0.0335638400902379,0.176188185973028,0.756873637935884,0.214369855720969,0.171812473312884,0.19658588451428,0.179960149010253,0.224689576249823,0.817874074839073,0.162157382016816,0.171812473312884,0.19658588451428,0.179960149010253,0.224689576249823,0.817874074839073,0.162157382016816
"chao1",0.385832759988139,0.858488336510585,0.74233824581261,0.958791743025358,0.332053505335552,0.341816306496359,0.251917917835824,0.960682872086733,0.975853867986143,0.734997822576127,0.310279446810782,0.256161566308727,0.130246418856771,0.960682872086733,0.975853867986143,0.734997822576127,0.310279446810782,0.256161566308727,0.130246418856771
"observed_otus",0.657664698264752,0.733154354424488,0.57820361797086,0.816335066635216,0.376859516253763,0.349231381515882,0.400384857779666,0.835909806642622,0.892123996704169,0.944924515030153,0.437635786129739,0.393968658629972,0.213244654339937,0.835909806642622,0.892123996704169,0.944924515030153,0.437635786129739,0.393968658629972,0.213244654339937
"PD_whole_tree",0.941758819910721,0.545122610725327,0.59024915674984,0.614387172811442,0.760689776928154,0.862545280212517,0.648744980101356,0.612616386475639,0.673839495047219,0.762219933630239,0.756211272088463,0.906970571624565,0.261884150182489,0.612616386475639,0.673839495047219,0.762219933630239,0.756211272088463,0.906970571624565,0.261884150182489
"shannon",0.785891299721337,0.306920277245869,0.302319704289831,0.681779681359881,0.671201701982995,0.500552205624905,0.259981749509335,0.729806201546929,0.673088308049506,0.946972841025264,0.703259518514504,0.581094217972628,0.17670840354171,0.729806201546929,0.673088308049506,0.946972841025264,0.703259518514504,0.581094217972628,0.17670840354171
