"","Summed","Average","Max","Episode3.1","Episode3.2","Episode3.3","IBQr_fear"
"AgeAt1yrVisit",0.78962328993435,0.783737432206104,0.944431076873552,0.854602543989728,0.555168436930079,0.994791854001159,0.835198605008869
"MAGE",0.871105543515863,0.870016636739313,0.991234608031133,0.854602543989728,0.977809194739996,0.994791854001159,0.538617170160086
"PAGE",0.844766885523565,0.844370145877107,0.991234608031133,0.854602543989728,0.730993208181097,0.994791854001159,0.948069652267322
"MEDUY",0.966179672560017,0.966266910357314,0.843579862201348,0.989449372905112,0.896589301329076,0.994791854001159,0.81965600494834
"PEDUY",0.730432419359676,0.733906939309354,0.731839235743633,0.854602543989728,0.555168436930079,0.904282495923229,0.799413639304905
"Income.code",0.966179672560017,0.966266910357314,0.991234608031133,0.951118968877823,0.8293220975739,0.994791854001159,0.933327551298128
"OLDERSIBLINGS",0.844766885523565,0.844370145877107,0.991234608031133,0.91816803670629,0.685872058436302,0.994791854001159,0.933327551298128
"SEX",0.984233833430209,0.980606093400858,0.991234608031133,0.951118968877823,0.723377048004879,0.994791854001159,0.920296131347116
"GESTAGEBIRTH",0.966179672560017,0.966266910357314,0.991234608031133,0.872886834191391,0.914494676241067,0.994791854001159,0.835198605008869
"BW",0.78962328993435,0.783737432206104,0.731839235743633,0.854602543989728,0.555168436930079,0.994791854001159,0.384149205750486
"MaternalInfection",0.78962328993435,0.783737432206104,0.731839235743633,0.854602543989728,0.59534893311914,0.994791854001159,0.833877895481778
"MPSYCH",0.78962328993435,0.783737432206104,0.731839235743633,0.854602543989728,0.723377048004879,0.994791854001159,0.948069652267322
"VITAMINDNEO",0.844766885523565,0.844370145877107,0.957687639172832,0.854602543989728,0.685872058436302,0.994791854001159,0.948069652267322
"PrePregBMI",0.78962328993435,0.783737432206104,0.944431076873552,0.91816803670629,0.442905766236487,0.994791854001159,0.799413639304905
"ANTIBIOTIC_1yr",0.844766885523565,0.844370145877107,0.731839235743633,0.854602543989728,0.555168436930079,0.994791854001159,0.934975049926247
"FEVER_1yr",0.730432419359676,0.733906939309354,0.731839235743633,0.854602543989728,0.555168436930079,0.904282495923229,0.934975049926247
"DAYCARE",0.844766885523565,0.844370145877107,0.731839235743633,0.91816803670629,0.860345850288418,0.994791854001159,0.948069652267322
"CURBRFEED_1yr",0.984233833430209,0.980606093400858,0.944431076873552,0.951118968877823,0.97279290852464,0.994791854001159,0.981886978243489
"FORMULA_1yr",0.844766885523565,0.844370145877107,0.991234608031133,0.91816803670629,0.977809194739996,0.994791854001159,0.948069652267322
"Milks_1yr",0.78962328993435,0.783737432206104,0.731839235743633,0.854602543989728,0.555168436930079,0.994791854001159,0.969881964783661
"FrenchFries_1yr",0.78962328993435,0.783737432206104,0.731839235743633,0.854602543989728,0.685872058436302,0.994791854001159,0.934975049926247
"SweetFoodsDrinks_1yr",0.844766885523565,0.844370145877107,0.991234608031133,0.854602543989728,0.723377048004879,0.994791854001159,0.835198605008869
"PeanutButter_1yr",0.78962328993435,0.783737432206104,0.957687639172832,0.854602543989728,0.59534893311914,0.994791854001159,0.948069652267322
"CURBRFEED_6mo",0.844766885523565,0.844370145877107,0.991234608031133,0.951118968877823,0.97279290852464,0.994791854001159,0.981886978243489
"FORMULA_6mo",0.844766885523565,0.844370145877107,0.944431076873552,0.854602543989728,0.59534893311914,0.994791854001159,0.835198605008869
"WHSTOTHER",0.78962328993435,0.783737432206104,0.957687639172832,0.854602543989728,0.59534893311914,0.994791854001159,0.981886978243489
"VITAMIND_6mo",0.843997864345782,0.843167857692561,0.944431076873552,0.854602543989728,0.723377048004879,0.994791854001159,0.934975049926247
"Cereals_6mo",0.844766885523565,0.844370145877107,0.957687639172832,0.854602543989728,0.723377048004879,0.994791854001159,0.981886978243489
"NegativeLifeEvents",0.843997864345782,0.843167857692561,0.731839235743633,0.854602543989728,0.81896142982923,0.994791854001159,0.948069652267322
"PositiveLifeEvents",0.78962328993435,0.783737432206104,0.731839235743633,0.854602543989728,0.442905766236487,0.994791854001159,0.835198605008869
"TotalLifeEvents",0.844766885523565,0.844370145877107,0.991234608031133,0.854602543989728,0.442905766236487,0.994791854001159,0.835198605008869
"StateAnxiety",0.966179672560017,0.966266910357314,0.944431076873552,0.951118968877823,0.896589301329076,0.994791854001159,0.835198605008869
"TraitAnxiety",0.843997864345782,0.843167857692561,0.843579862201348,0.854602543989728,0.723377048004879,0.994791854001159,0.833877895481778
