"","MasksPresented","MaskMaxIntensity_Latency","MaskMaxIntensity_FacialFear","MaskMaxIntensity_VocalDistress","MaskMaxIntensity_BodilyFear","MaskMaxIntensity_StartleResponse","MaskMaxIntensity_EscapeBehavior","MaskAverageScore_Latency","MaskAverageScore_FacialFear","MaskAverageScore_VocalDistress","MaskAverageScore_BodilyFear","MaskAverageScore_StartleResponse","MaskAverageScore_EscapeBehavior","MaskSummedScore_Latency","MaskSummedScore_FacialFear","MaskSummedScore_VocalDistress","MaskSummedScore_BodilyFear","MaskSummedScore_StartleResponse","MaskSummedScore_EscapeBehavior"
"MAGE",0.811187390798061,0.861736663672123,0.964108374206157,0.985946989224113,0.911014774601114,0.898508021845001,1,0.986756484745067,0.99452287872218,0.994930469460873,0.912448203001669,0.839075096957791,0.981212454451661,0.99127051717783,0.983590233651521,0.945714415754838,0.956016630527074,0.839075096957791,1
"PAGE",0.751788082266781,0.861736663672123,0.964108374206157,0.985946989224113,0.659316463492037,0.898508021845001,1,0.741143622698582,0.940557876111726,0.854430213563545,0.634627181685816,0.839075096957791,0.785687158282634,0.871566528162832,0.983590233651521,0.894119859901474,0.73259016615316,0.839075096957791,0.810194540078967
"MEDUY",0.895749185573627,0.861736663672123,0.964108374206157,0.760190778315784,0.822263144072736,0.852078347591297,1,0.741143622698582,0.904633566457255,0.854430213563545,0.903204211733321,0.915313668313668,0.785687158282634,0.765015324437709,0.904731599783967,0.894119859901474,0.869495291718181,0.915313668313668,0.852802117838583
"PEDUY",0.760810053575084,0.861736663672123,0.964108374206157,0.985946989224113,0.911014774601114,0.852078347591297,1,0.986756484745067,0.99452287872218,0.994930469460873,0.985680417630111,0.839075096957791,0.981212454451661,0.99127051717783,0.983590233651521,0.945714415754838,0.982522944735859,0.839075096957791,1
"Income.code",0.801113468967418,0.861736663672123,0.964108374206157,0.954647017092547,0.91205761453201,0.865211481042571,1,0.741143622698582,0.904633566457255,0.873628923370625,0.903204211733321,0.839075096957791,0.983182723511733,0.936676650942222,0.966499577457059,0.945714415754838,0.919761373988252,0.839075096957791,1
"OLDERSIBLINGS",0.881749141757193,0.861736663672123,0.964108374206157,0.985946989224113,0.911014774601114,0.852078347591297,1,0.986756484745067,0.99452287872218,0.994930469460873,0.903204211733321,0.839075096957791,0.785687158282634,0.99127051717783,0.983590233651521,0.945714415754838,0.869495291718181,0.839075096957791,0.810194540078967
"SEX",0.751788082266781,0.861736663672123,0.964108374206157,0.985946989224113,0.916843673031954,0.898508021845001,1,0.986756484745067,0.99452287872218,0.994930469460873,0.903204211733321,0.839075096957791,0.981212454451661,0.99127051717783,0.983590233651521,0.945714415754838,0.869495291718181,0.839075096957791,1
"GESTAGEBIRTH",0.746050714960135,0.861736663672123,0.964108374206157,0.985946989224113,0.659316463492037,0.852078347591297,1,0.668688632439671,0.904633566457255,0.854430213563545,0.634627181685816,0.584419937360569,0.981212454451661,0.700135416885685,0.966499577457059,0.894119859901474,0.654459615699502,0.584419937360569,1
"BW",0.751788082266781,0.861736663672123,0.964108374206157,0.985946989224113,0.659316463492037,0.852078347591297,1,0.986756484745067,0.904633566457255,0.980432901096013,0.634627181685816,0.839075096957791,0.981212454451661,0.99127051717783,0.966499577457059,0.945714415754838,0.654459615699502,0.839075096957791,1
"MaternalInfection",0.801113468967418,0.861736663672123,0.964108374206157,0.985946989224113,0.911014774601114,0.852078347591297,1,0.986756484745067,0.99452287872218,0.994930469460873,0.985680417630111,0.894548737286584,0.785687158282634,0.99127051717783,0.983590233651521,0.945714415754838,0.982522944735859,0.894548737286584,0.810194540078967
"MPSYCH",0.751788082266781,0.861736663672123,0.964108374206157,0.985946989224113,1,0.852078347591297,1,0.986756484745067,0.99452287872218,0.994930469460873,0.903204211733321,0.839075096957791,0.922200414190703,0.99127051717783,0.983590233651521,0.945714415754838,0.911715014214794,0.839075096957791,1
"VITAMINDNEO",0.751788082266781,0.861736663672123,0.964108374206157,0.760190778315784,0.633322307392765,0.898508021845001,1,0.668688632439671,0.904633566457255,0.854430213563545,0.634627181685816,0.839075096957791,0.785687158282634,0.700135416885685,0.966499577457059,0.894119859901474,0.654459615699502,0.839075096957791,0.810194540078967
"PrePregBMI",0.895749185573627,0.861736663672123,0.964108374206157,0.985946989224113,0.822263144072736,0.852078347591297,1,0.986756484745067,0.99452287872218,0.994930469460873,0.903204211733321,0.839075096957791,0.846817447843195,0.99127051717783,0.983590233651521,0.945714415754838,0.869495291718181,0.839075096957791,0.878760244649831
"ANTIBIOTIC_1yr",0.751788082266781,0.861736663672123,0.964108374206157,0.985946989224113,0.69289407251536,0.922891427698691,1,0.976256378037485,0.904633566457255,0.873628923370625,0.634627181685816,0.839075096957791,0.981212454451661,0.99127051717783,0.966499577457059,0.945714415754838,0.73259016615316,0.839075096957791,1
"FEVER_1yr",0.855106004365363,0.886059045506315,0.964108374206157,0.985946989224113,0.687827586179138,0.922891427698691,1,0.986756484745067,0.99452287872218,0.994930469460873,0.903204211733321,0.887135287775747,0.785687158282634,0.99127051717783,0.983590233651521,0.945714415754838,0.87603326616495,0.887135287775747,0.810194540078967
"DAYCARE",0.751788082266781,0.861736663672123,0.964108374206157,0.985946989224113,0.822263144072736,0.898508021845001,1,0.976256378037485,0.99452287872218,0.873628923370625,0.903204211733321,0.839075096957791,0.981212454451661,0.956351866671736,0.983590233651521,0.945714415754838,0.869495291718181,0.839075096957791,1
"CURBRFEED_1yr",0.746050714960135,0.900240492923741,1,0.985946989224113,0.659316463492037,1,1,0.976256378037485,0.99452287872218,0.873628923370625,0.634627181685816,0.839075096957791,0.860254650607828,0.93783727853516,0.983590233651521,0.894119859901474,0.654459615699502,0.839075096957791,0.856675265456418
"FORMULA_1yr",0.773211346976545,0.861736663672123,0.964108374206157,1,0.822263144072736,0.865211481042571,1,0.986756484745067,0.99452287872218,0.994930469460873,0.903204211733321,0.915313668313668,0.785687158282634,0.99127051717783,0.983590233651521,0.955035783821588,0.869495291718181,0.915313668313668,0.810194540078967
"Milks_1yr",0.751788082266781,0.861736663672123,0.964108374206157,1,0.911014774601114,0.852078347591297,1,0.986756484745067,0.99452287872218,0.994930469460873,0.903204211733321,0.839075096957791,0.785687158282634,0.99127051717783,0.983590233651521,0.945714415754838,0.869495291718181,0.839075096957791,0.878760244649831
