"","wunifrac.PC.1","wunifrac.PC.2","wunifrac.PC.3","wunifrac.PC.4","unifrac.PC.1","unifrac.PC.2","unifrac.PC.3","unifrac.PC.4","chao1","observed_otus","PD_whole_tree","shannon"
"AGEVISITNEO",-0.000290207698853967,-0.00288113079076111,-0.000642387816951247,0.000801678749769804,-0.000212950040041358,0.00343765760736186,0.000442368024883795,-0.00290254110081241,0.397429329231233,0.302532990574122,0.0205095917909168,-0.00509044395061152
"MAGE",-0.00652301611571255,0.0177662274473688,-0.00185124600553193,0.0034102773543542,0.00469578054622178,-0.00989096441239154,0.00487479235165533,0.00541390260657104,-0.779816693973404,-0.632373125128416,-0.068156395849599,-0.0262899532608986
"METHNIC",0.0197110160579416,0.0662077564612792,0.0254645559600883,-0.0291527570037229,0.0562177269672975,0.0794781336619513,-0.0424950636108863,0.0117851474933433,5.59932010302078,3.06666666666666,-0.0460507916666663,0.0784799300283649
"PAGE",0.00601439649346835,0.00606892671095805,-4.7968623497667e-05,-0.0028064525513498,0.00573854329073209,-0.00235512254731075,-0.00155567452597153,0.00509634295784956,0.362014881720433,0.0358186802993119,-0.0126990906598504,-0.0052489332262346
"PETHNIC",-0.0893510683427943,0.0507388173092303,0.0408204591264628,-0.0742425920606862,0.00181143556585124,0.0606512030714,-0.0497130936432325,0.0233492709803503,-12.4357588601039,-8.02742857142858,-0.322215251428569,0.07489112839346
"MEDUY",-0.00821797130949498,0.0213036980316527,-0.00409055839590731,0.00514062225705167,-0.00215642732614748,-0.00676752050802272,0.010568568557434,0.00372164518679016,-1.95844048736645,-1.02986802500579,-0.121056815698077,-0.0230597503579725
"PEDUY",-0.0197430287582136,0.017018056112496,-0.0123511578086056,0.0136066803851804,0.00447433316836013,-0.0159080228594101,0.01378107181077,-0.0148752331676668,-3.10275583928911,-1.60851644602156,-0.110106522860652,-0.00450703280532951
"Income.code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OLDERSIBLINGS",-0.164012489508511,0.0883999956536595,-0.00105934095196487,0.00181068003515521,-0.0105034955827663,-0.0698642357659336,0.0730548344268184,0.0484813748422028,-6.16923570918513,-6.23157894736843,-0.428223639676111,0.118669651599858
"SEX",-0.0410077426257837,0.00842040415182272,-0.0590884884510637,-0.0169833041753721,0.00570455228684267,-0.0430899787062668,-0.0581905398001605,0.0429956195748672,0.285659616167982,0.16000000000001,0.114462245454546,-0.139871336615584
"GESTAGEBIRTH",-0.0044044485594267,0.00473440625821313,-0.00185336421907342,-0.00282611168770446,-0.0023355331386838,-0.00256302525359851,0.0012777920361406,-0.000361435378957253,-1.05145237537319,-0.349926879204446,-0.0297974307546064,-0.0139952912377032
"BW",5.63378926233465e-05,3.88226630706808e-05,3.01963022272711e-05,-4.36981675545293e-05,-0.000167601810431135,8.17613215471191e-05,-1.83041535962027e-05,-4.22896901096944e-05,-0.0108731440027218,-0.0040269655626489,0.000282301351455901,-5.5778249040472e-05
"MaternalInfection",-0.0759657604624442,-0.00765377410870866,0.032574346048528,0.00466152565730171,0.0555755077056842,0.11560298223833,0.0404765668187451,-0.0245576681786122,12.7877375009108,5.98441558441557,0.0810233116883103,0.190155269281879
"MPSYCH",0.180694452315771,-0.0354453771253483,0.104295515041117,-0.011189207415246,0.0444250656321576,0.0832392886896254,-0.0996854909555267,-0.0415112974517579,-1.33604385874591,4.43671497584542,0.432070932367148,0.39160452635338
"VITAMINDNEO",-0.174370075738317,0.0743554373224583,0.015359740677262,-0.0057199095424765,0.0233950169639963,0.0572795909214131,0.0470976176869568,0.00621589579074865,-28.4883057057465,-13.8666666666667,-0.593331449999998,-0.657804658495993
"PrePregBMI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
