"","neo.WM","neo.GM","neo.CSF","neo.ICV","neo.Hippocampus_LR","neo.Amygdala_LR","neo.mPFC","yr1.WM","yr1.GM","yr1.CSF","yr1.ICV","yr1.Hippocampus_LR","yr1.Amygdala_LR","yr1.mPFC"
"wunifrac.PC.1",-12964.2551627406,-43114.7709532467,-6732.49117300845,-62811.5172889958,-94.4938874687526,-214.82470529896,-4051.70162046464,-68740.5727432865,5664.26485505603,-110836.362768705,-173912.670656936,-272.034540895619,267.11662621687,-5603.47465539054
"wunifrac.PC.2",1021.33003985599,-1068.87029400239,-20778.0899359313,-20825.6301900777,-145.94035164596,-37.8405266076325,-196.092586270327,4157.19984693799,40277.7201040611,-4920.59102870273,39514.3289222965,-72.571163822756,710.210094134336,5264.63447521416
"wunifrac.PC.3",5766.23737252374,-10654.3481415823,-31155.0612419335,-36043.1720109919,-16.3068048954772,-18.3382240368885,-604.267709080549,134912.539382853,-79304.6336594717,181942.397165074,237550.302888456,1089.01598116241,-482.375068163676,18720.657081921
"wunifrac.PC.4",37028.9772062576,38805.394704009,52899.7317976142,128734.103707881,191.255437394293,-95.103551854061,4827.56824484054,36457.4850974324,-21531.0109012685,180403.359832478,195329.834028641,222.67509152098,-120.144005394631,10546.5124041283
"unifrac.PC.1",-26060.9210323866,-38699.85924202,-23110.5625156578,-87871.3427900644,-167.215295820087,-290.794420268314,-5260.30837809859,27790.8500526256,49430.8693696704,-55576.2496421078,21645.4697801878,-483.645073336879,-221.648226489142,-10820.4821049373
"unifrac.PC.2",-16703.0050365955,-62952.1076174115,-57999.8300101336,-137654.94266414,-144.323625591448,-63.1728465404186,-6248.47806236954,61249.3280334542,-25699.9774960264,74243.624491888,109792.975029315,733.697541791432,98.0118260627122,8212.27918436982
"unifrac.PC.3",27763.4671795534,69796.7649568314,-1914.77451269012,95645.4576236948,252.463775558257,389.113663233174,7508.85367237506,174789.491750992,20664.1025570566,175502.408615206,370956.002923254,-17.0857503760829,134.095173102402,13331.5547948038
"unifrac.PC.4",-10128.1751616162,-9559.20903324652,-59327.7412164635,-79015.1254113262,-71.7171885049699,-3.2294790748384,-559.927647179883,8851.68749201016,-42014.3217007858,-24081.6466064463,-57244.28081522,-711.48036752598,-392.753684898692,12870.6495373586
"chao1",-96.9451080801115,-135.582617715523,-80.3484843726093,-312.876210168245,-0.696144530393926,-1.14577966779454,-15.1344974924878,554.220159536132,93.5350035713114,138.776748080087,786.531911187534,-0.954546334442147,0.606755199167064,39.7877829988915
"observed_otus",-169.116767172232,-143.781563953408,-55.8932249618184,-368.791556087459,-0.478581744958342,-1.32836681613882,-24.5199456993757,800.002411290717,224.377820734795,-149.074285903603,875.305946121917,-2.99249394296447,1.30282021335746,40.4434549215396
"PD_whole_tree",-1876.65248371148,-3362.29257036047,-331.196234119973,-5570.14128819196,-12.3205783992658,-28.9043936595594,-431.611519731853,4749.6456496285,1055.50286603535,257.274738238206,6062.42325390221,-60.91461419549,4.98833894299552,1535.45843417134
"shannon",-2583.31496372408,2690.02450489877,5779.51108459106,5886.22062576577,22.0741376371451,-13.4705311402333,-113.550529490889,23529.7472466505,14342.0284943313,-95.3951247385054,37776.3806162434,-48.8932949501668,-92.5029951555686,-3256.09423403263
