"","IBQr_fear"
"AgeAt1yrVisit",0.33784446081155
"MAGE",0.0326434648581871
"PAGE",0.772732415015674
"MEDUY",0.124190303780051
"PEDUY",0.0960798137683728
"Income.code",0.480805102183884
"OLDERSIBLINGS",0.465178267026843
"SEX",0.418316423339598
"GESTAGEBIRTH",0.205539950446897
"BW",0.0116408850227419
"MaternalInfection",0.17688318995068
"MPSYCH",0.7623824816245
"VITAMINDNEO",0.693883273337282
"PrePregBMI",0.0968986229460491
"ANTIBIOTIC_1yr",0.591917452772977
"FEVER_1yr",0.589445082265657
"DAYCARE",0.768336431870052
"CURBRFEED_1yr",0.981886978243489
"FORMULA_1yr",0.680425700436442
"Milks_1yr",0.852320514506853
"FrenchFries_1yr",0.575102348179192
"SweetFoodsDrinks_1yr",0.284823148049962
"PeanutButter_1yr",0.804422735257122
"FORMULA_6mo",0.314780665011483
"WHSTOTHER",0.975847873931688
"VITAMIND_6mo",0.594984122680339
"Cereals_6mo",0.95573750839767
"NegativeLifeEvents",0.775770943470721
"PositiveLifeEvents",0.231758635078015
"TotalLifeEvents",0.291530641442939
"StateAnxiety",0.354326680912853
"TraitAnxiety",0.174295126317193
