"","Summed","Average","Max","Episode3.1","Episode3.2","Episode3.3"
"AgeAt1yrVisit",0.287135741794309,0.284995429893129,0.472730963497317,0.497786697142246,0.138343841627876,0.551311636440788
"MAGE",0.71272271742207,0.711831793695802,0.875869525795898,0.530761622447207,0.964966012730355,0.786481337187486
"PAGE",0.620926252155192,0.618492852797166,0.922603889222187,0.509480114792886,0.509480114792886,0.994791854001159
"MEDUY",0.897773287621823,0.897605681443482,0.332319339655076,0.989449372905112,0.760742437491337,0.569916177493639
"PEDUY",0.0442686314763438,0.0444792084429911,0.144019439368625,0.113065481523064,0.138845969833564,0.0548049997529229
"Income.code",0.890934071200227,0.891187456344658,0.798048154203806,0.922297181942132,0.628274316343864,0.865978887783411
"OLDERSIBLINGS",0.627803850339439,0.628112126546958,0.983567218042377,0.69735401580194,0.332544028332752,0.964673936705032
"SEX",0.984233833430209,0.980606093400858,0.932886499749064,0.87387787187247,0.455770199842841,0.411146403931453
"GESTAGEBIRTH",0.9076233287685,0.907705279426567,0.991234608031134,0.608375672315212,0.803646836696695,0.967024595784192
"BW",0.219357129769984,0.219873043318993,0.201660636459985,0.297702279133066,0.146461014801161,0.499659523726128
"MaternalInfection",0.227869386968483,0.227271882943046,0.0831839770002783,0.537756129055565,0.231283129892533,0.229059610489807
"MPSYCH",0.135274508390571,0.135003076013515,0.116187524714647,0.161283565209841,0.482251365336586,0.107146435873266
"VITAMINDNEO",0.627803850339439,0.628112126546958,0.634713613206424,0.332544028332753,0.332544028332753,0.593754299282741
"PrePregBMI",0.214295799374065,0.214898538628685,0.543763347290833,0.751228393668783,0.0282699874164428,0.494719055570366
"ANTIBIOTIC_1yr",0.44471161674809,0.445425289252905,0.243946411914544,0.569735029326485,0.151409573708203,0.935504026668375
"FEVER_1yr",0.0427690392279588,0.0426446932354024,0.029429486916936,0.223524891218513,0.0958381312313881,0.02923387720296
"DAYCARE",0.665573909806445,0.665261327054691,0.195836871218253,0.677848245681784,0.677848245681784,0.313391570324107
"CURBRFEED_1yr",0.968257655373304,0.965000625253047,0.467658123320374,0.872140472382919,0.913835762553449,0.890205359066801
"FORMULA_1yr",0.659139951112572,0.655585875209567,0.965201855796831,0.740333081877328,0.977809194739996,0.191169151212721
"Milks_1yr",0.202007914211782,0.201496481558912,0.243946411914545,0.569735029326486,0.151409573708203,0.215312052234734
"FrenchFries_1yr",0.215328504542038,0.214394799300885,0.234450099890427,0.465875437631485,0.296968069935857,0.179172268720386
"SweetFoodsDrinks_1yr",0.596164867641702,0.597035115738696,0.832761837562938,0.321528270655179,0.415303758102258,0.759958510067748
"PeanutButter_1yr",0.270273813813005,0.270947337891826,0.614667633646335,0.148033157729326,0.222349267922735,0.776273308925393
"FORMULA_6mo",0.590561289197417,0.594063292865084,0.441746043329703,0.548622376639257,0.234531397895419,0.769008605012193
"WHSTOTHER",0.256261237291369,0.256108064523191,0.667479263665914,0.467770488951695,0.230732713431652,0.314385355431163
"VITAMIND_6mo",0.383635392884446,0.383258117132982,0.504033300447973,0.409846779879751,0.409846779879751,0.572610589148461
"Cereals_6mo",0.482080843443451,0.485168932690145,0.650544548213152,0.41814847895008,0.41814847895008,0.831780277198645
"NegativeLifeEvents",0.364078266067618,0.364593851032321,0.119348996879717,0.37291029467429,0.595608312603076,0.399759149866831
"PositiveLifeEvents",0.195788353663724,0.197051483793484,0.227463049710596,0.251136532886971,0.018412472130602,0.971042864907745
"TotalLifeEvents",0.447854035713366,0.449654921104764,0.770490696348859,0.532494762387962,0.0402641605669533,0.630217209027306
"StateAnxiety",0.886033631442939,0.884058799025256,0.529154221593112,0.922082812406909,0.737702443903029,0.91456858402632
"TraitAnxiety",0.346609917037397,0.345667633530283,0.326160643921129,0.248196194589991,0.470110230685505,0.595620127752407
"Stranger",0.843271266749299,0.843409214233515,0.704219856836046,0.45577019984284,0.45577019984284,0.411146403931453
