"","MasksPresented","MaskMaxIntensity_Latency","MaskMaxIntensity_FacialFear","MaskMaxIntensity_VocalDistress","MaskMaxIntensity_BodilyFear","MaskMaxIntensity_StartleResponse","MaskMaxIntensity_EscapeBehavior","MaskAverageScore_Latency","MaskAverageScore_FacialFear","MaskAverageScore_VocalDistress","MaskAverageScore_BodilyFear","MaskAverageScore_StartleResponse","MaskAverageScore_EscapeBehavior","MaskSummedScore_Latency","MaskSummedScore_FacialFear","MaskSummedScore_VocalDistress","MaskSummedScore_BodilyFear","MaskSummedScore_StartleResponse","MaskSummedScore_EscapeBehavior"
"MAGE",0.684439360985864,0.446506986422374,0.435608553622307,0.485052892375742,0.749091570383393,0.730037767749063,0.548222469900612,0.86784553231569,0.614993373524262,0.703945469528423,0.798392177626461,0.483799189729886,0.877258701436921,0.817787698408967,0.575628031510119,0.646317664317074,0.854398716335872,0.483799189729886,0.733565988595005
"PAGE",0.250395050446593,0.802333992594165,0.933979987512215,0.472576893790629,0.185019576281686,0.502991212546155,0.895935113558834,0.216599758085067,0.382101637170389,0.240308497564747,0.198320994276817,0.207532798059752,0.0984565010774954,0.245128086045797,0.415474261024983,0.279412456219211,0.228934426922862,0.207532798059752,0.225365227093562
"MEDUY",0.886633141899786,0.0911190252554359,0.0898606876832851,0.14731899145814,0.454370024799292,0.35936887840443,0.216706888636807,0.190025569334239,0.0863735317207761,0.223874109196599,0.473501850211405,0.885856879810573,0.31918540805232,0.185320788281795,0.0842054764037528,0.217036821597103,0.4634120024549,0.885856879810573,0.346450860371924
"PEDUY",0.52305691183287,0.446601385346811,0.56814777515831,0.858166913696933,0.76866871606969,0.33228707020861,0.639683924357972,0.846739932653898,0.718400226476028,0.640325849195298,0.961014251233621,0.509592492312616,0.950549565250046,0.843737491790297,0.716729588087132,0.639911715780567,0.95672976755513,0.509592492312616,0.972668037537011
"Income.code",0.60815471809653,0.102725725499889,0.122383195239894,0.238661754273137,0.826552213169634,0.423197462709439,0.844487569840331,0.231607382093307,0.22473148123316,0.316137908903265,0.734589940603899,0.339554654783057,0.983182723511733,0.292711453419444,0.279227329902441,0.407091470544394,0.776048659302588,0.339554654783057,0.887735245753501
"OLDERSIBLINGS",0.799085159717456,0.804116531359607,0.628581596110465,0.828089151678564,0.705338238160264,0.182748982291721,0.184066366081337,0.74905344265213,0.677117055530306,0.624345807185345,0.533694090538476,0.247429002091348,0.239291411804381,0.834497639249688,0.753974978847804,0.730496296481561,0.616959480927839,0.247429002091348,0.17067146890836
"SEX",0.219191576255824,0.640645857724057,0.777381660704548,0.462495345612204,0.859540943467457,0.705338238160264,1,0.89914815136168,0.865528444696827,0.801794407858072,0.533861667862034,0.545392601752766,0.63909737212686,0.936469786762735,0.833847569044279,0.759974007382876,0.509699876169232,0.545392601752766,0.796172009391271
"GESTAGEBIRTH",0.104043407812593,0.578062734721571,0.876144984267651,0.644668827419428,0.185432755357136,0.244127675194077,0.28596293728473,0.105651467271981,0.157317346483893,0.133769310125537,0.077381404622545,0.0547893691275534,0.862865944230237,0.131275390666066,0.186383191228877,0.172465990161334,0.101118757959291,0.0547893691275534,0.92697656381261
"BW",0.493360928987575,0.598562472140987,0.819265044481014,0.840925520507336,0.161044278356291,0.296321813042234,0.564233964098398,0.518968573370426,0.320057536994693,0.428939394229506,0.118512471991337,0.213106607453322,0.754996876348789,0.551318046145753,0.344600593166848,0.468515675564235,0.137756605542047,0.213106607453322,0.691457229310266
"MaternalInfection",0.650904693536027,0.741333477943432,0.648871393767492,0.699675888838494,0.737652013418033,0.345725999320445,0.368846291783931,0.836039432377277,0.706258202501755,0.685143402807924,0.985680417630112,0.698866201005144,0.309363248541112,0.784339260341615,0.661849090303406,0.625509839931995,0.929686636761409,0.698866201005144,0.271930948124435
"MPSYCH",0.392259088609271,0.783872964670082,0.688794777551332,0.836981721680968,1,0.274784759491862,0.752208987243656,0.870538648116579,0.787423009912761,0.834648024940234,0.76207855364999,0.341699414383231,0.489918970038811,0.897473527947885,0.766525827548114,0.805115382761626,0.740768449049519,0.341699414383231,0.625019006104895
"VITAMINDNEO",0.48700698527669,0.428051161129151,0.565835717847684,0.0916681133886706,0.0242150517220052,0.662081296256538,0.434613870773499,0.125379118582438,0.237822823720007,0.186055990745834,0.0991772377473532,0.576864129158481,0.210779258293111,0.108578866338975,0.211981336750139,0.157641042466954,0.086610440930197,0.576864129158481,0.181077347558012
"PrePregBMI",0.895749185573627,0.785263949164442,0.845410086896213,0.593292194465878,0.351298031616,0.130413795431596,0.797365613773721,0.832516788351509,0.666235433110522,0.850708098361063,0.596800597939648,0.554148469942787,0.396945678676498,0.840648667481397,0.676293907649923,0.855439116750016,0.613184327569923,0.554148469942787,0.419608529963285
"ANTIBIOTIC_1yr",0.438926673390212,0.726363679527393,0.686738206355759,0.578072828658827,0.238182337427155,0.851732715229127,0.647870080297753,0.396604153577728,0.339237587421471,0.354911750119316,0.186316190768302,0.490921571552418,0.87878620867307,0.423676370521965,0.362437341546397,0.388116599971444,0.207913832190924,0.490921571552418,0.811137940144881
"FEVER_1yr",0.748217753819693,0.858369700334243,0.714310289588184,0.613844460276582,0.21494612068098,0.865210713467523,0.24209343266058,0.986756484745067,0.983440472010959,0.977788792645369,0.731308076624468,0.66535146583181,0.306356223215104,0.899838942601481,0.901752148196119,0.869227036366788,0.657024949623713,0.665351465831811,0.222023582095965
