"","IBQr_fear"
"AgeAt1yrVisit",0.809889556372236
"MAGE",0.522295437730993
"PAGE",0.919340268865282
"MEDUY",0.794817944192329
"PEDUY",0.775188983568393
"Income.code",0.905044898228488
"OLDERSIBLINGS",0.905044898228488
"SEX",0.892408369791142
"GESTAGEBIRTH",0.809889556372236
"BW",0.372508320727739
"MaternalInfection",0.808608868345968
"MPSYCH",0.919340268865282
"VITAMINDNEO",0.919340268865282
"PrePregBMI",0.775188983568393
"ANTIBIOTIC_1yr",0.906642472655755
"FEVER_1yr",0.906642472655755
"DAYCARE",0.919340268865282
"CURBRFEED_1yr",0.981886978243489
"FORMULA_1yr",0.919340268865282
"Milks_1yr",0.940491602214459
"FrenchFries_1yr",0.906642472655755
"SweetFoodsDrinks_1yr",0.809889556372236
"PeanutButter_1yr",0.919340268865282
"FORMULA_6mo",0.809889556372236
"WHSTOTHER",0.981886978243489
"VITAMIND_6mo",0.906642472655755
"Cereals_6mo",0.981886978243489
"NegativeLifeEvents",0.919340268865282
"PositiveLifeEvents",0.809889556372236
"TotalLifeEvents",0.809889556372236
"StateAnxiety",0.809889556372236
"TraitAnxiety",0.808608868345968
