"","wunifrac.PC.1","wunifrac.PC.2","wunifrac.PC.3","wunifrac.PC.4","unifrac.PC.1","unifrac.PC.2","unifrac.PC.3","unifrac.PC.4","chao1","observed_otus","PD_whole_tree","shannon"
"MAGE",0.926967182704373,0.195950052843512,0.982636848910375,0.95585557590607,0.653584716748183,0.909231621029129,0.892812031568498,0.899699600922941,0.987416829451911,0.972858175142379,0.941956986057844,0.881673042443217
"PAGE",0.154539696205995,0.942996100630366,0.826393794300468,0.922039261762091,0.224486350152898,0.876839595890486,0.475402091880969,0.899699600922941,0.893158436274433,0.972858175142379,0.780055586433669,0.881673042443217
"MEDUY",0.958326130991356,0.78436292674916,0.982636848910375,0.922039261762091,0.825111196593051,0.909231621029129,0.935162705981432,0.911564669228908,0.872032009439542,0.919141329302299,0.984167176145192,0.881673042443217
"PEDUY",0.926967182704373,0.195950052843512,0.957292820407051,0.95585557590607,0.653584716748183,0.608243914472145,0.935162705981432,0.899699600922941,0.903287880383011,0.972858175142379,0.941956986057844,0.881673042443217
"Income.code",0.915540798834538,0.786873236198455,0.957292820407051,0.922039261762091,0.931252432597851,0.961233904003786,0.0568881041384015,0.899699600922941,0.814518081224825,0.681049167156788,0.780055586433669,0.881673042443217
"OLDERSIBLINGS",0.926967182704373,0.317564110478374,0.826393794300468,0.922039261762091,0.810843663718964,0.876839595890486,0.935162705981432,0.899699600922941,0.917777249340978,0.972858175142379,0.780055586433669,0.932206987148337
"SEX",0.915540798834538,0.704259262180167,0.826393794300468,0.922039261762091,0.653584716748183,0.876839595890486,0.475402091880969,0.899699600922941,0.987416829451911,0.972858175142379,0.780055586433669,0.881673042443217
"GESTAGEBIRTH",0.915540798834538,0.195950052843512,0.982636848910375,0.937219237589768,0.836683937348058,0.876839595890486,0.935162705981432,0.899699600922941,0.917777249340978,0.972858175142379,0.780055586433669,0.881673042443217
"BW",0.915540798834538,0.942996100630366,0.826393794300468,0.646409343205112,0.653584716748183,0.876839595890486,0.935162705981432,0.899699600922941,0.814518081224825,0.681049167156788,0.780055586433669,0.881673042443217
"MaternalInfection",0.926967182704373,0.942996100630366,0.982636848910375,0.922039261762091,0.825111196593051,0.700696754483181,0.935162705981432,0.899699600922941,0.872032009439542,0.681049167156788,0.780055586433669,0.881673042443217
"MPSYCH",0.926967182704373,0.942996100630366,0.982636848910375,0.922039261762091,0.836683937348058,0.608243914472145,0.475402091880969,0.899699600922941,0.917777249340978,0.972858175142379,0.780055586433669,0.881673042443217
"VITAMINDNEO",0.915540798834538,0.942996100630366,0.982636848910375,0.922039261762091,0.825111196593051,0.608243914472145,0.935162705981432,0.899699600922941,0.814518081224825,0.681049167156788,0.780055586433669,0.881673042443217
"PrePregBMI",0.915540798834538,0.317564110478374,0.826393794300468,0.922039261762091,0.653584716748183,0.876839595890486,0.635606833236681,0.899699600922941,0.893158436274433,0.681049167156788,0.780055586433669,0.865931353241865
"ANTIBIOTIC_1yr",0.926967182704373,0.704259262180167,0.826393794300468,0.922039261762091,0.987262071334438,0.909231621029129,0.935162705981432,0.544908411676873,0.917777249340978,0.946113821220032,0.780055586433669,0.992236046047096
"FEVER_1yr",0.926967182704373,0.567903967503711,0.982636848910375,0.922039261762091,0.825111196593051,0.608243914472145,0.626736152106972,0.899699600922941,0.877204102777327,0.910445675061305,0.941956986057844,0.929250836821374
"DAYCARE",0.926967182704373,0.556283497606728,0.826393794300468,0.922039261762091,0.825111196593051,0.876839595890486,0.191081777394059,0.899699600922941,0.814518081224825,0.758327455389883,0.941956986057844,0.881673042443217
"CURBRFEED_1yr",0.926967182704373,0.757253479044507,0.982636848910375,0.937219237589768,0.129262547539233,0.915263452309571,0.475402091880969,0.971326183322498,0.814518081224825,0.681049167156788,0.780055586433669,0.258279876250314
"FORMULA_1yr",0.926967182704373,0.704259262180167,0.826393794300468,0.922039261762091,0.517471981818892,0.608243914472145,0.935162705981432,0.899699600922941,0.523280965275691,0.329416199883111,0.780055586433669,0.374153685533741
"Milks_1yr",0.915540798834538,0.942996100630366,0.826393794300468,0.922039261762091,0.931252432597851,0.608243914472145,0.935162705981432,0.899699600922941,0.917777249340978,0.972858175142379,0.780055586433669,0.881673042443217
"FrenchFries_1yr",0.926967182704373,0.942996100630366,0.826393794300468,0.922039261762091,0.402720508073888,0.608243914472145,0.935162705981432,0.899699600922941,0.232535694112369,0.112296030003682,0.780055586433669,0.258279876250314
"SweetFoodsDrinks_1yr",0.926967182704373,0.757253479044507,0.826393794300468,0.922039261762091,0.653584716748183,0.909231621029129,0.935162705981432,0.899699600922941,0.814518081224825,0.681049167156788,0.780055586433669,0.614136331083453
"PeanutButter_1yr",0.948352022192713,0.942996100630366,0.957292820407051,0.922039261762091,0.931252432597851,0.608243914472145,0.475402091880969,0.905295867783061,0.872032009439542,0.681049167156788,0.780055586433669,0.881673042443217
"FORMULA_6mo",0.915540798834538,0.317564110478374,0.826393794300468,0.922039261762091,0.613461051824738,0.608243914472145,0.952309793217422,0.899699600922941,0.872032009439542,0.681049167156788,0.780055586433669,0.745585650471687
"WHSTOTHER",0.926967182704373,0.704259262180167,0.826393794300468,0.922039261762091,0.836683937348058,0.608243914472145,0.475402091880969,0.999617344155153,0.872032009439542,0.681049167156788,0.941956986057844,0.881673042443217
"VITAMIND_6mo",0.926967182704373,0.317564110478374,0.826393794300468,0.754246580663645,0.653584716748183,0.608243914472145,0.935162705981432,0.971326183322498,0.872032009439542,0.681049167156788,0.780055586433669,0.762120653025248
"Cereals_6mo",0.926967182704373,0.741718639353281,0.826393794300468,0.754246580663645,0.653584716748183,0.608243914472145,0.191081777394059,0.971326183322498,0.921593723337583,0.972858175142379,0.780055586433669,0.881673042443217
"NegativeLifeEvents",0.915540798834538,0.942996100630366,0.957292820407051,0.922039261762091,0.613461051824738,0.608243914472145,0.935162705981432,0.899699600922941,0.872032009439542,0.972858175142379,0.941956986057844,0.996412865626182
"PositiveLifeEvents",0.926967182704373,0.317564110478374,0.982636848910375,0.922039261762091,0.874193704938031,0.608243914472145,0.935162705981432,0.899699600922941,0.917777249340978,0.972858175142379,0.780055586433669,0.881673042443217
"TotalLifeEvents",0.958326130991356,0.317564110478374,0.982636848910375,0.922039261762091,0.825111196593051,0.876839595890486,0.935162705981432,0.899699600922941,0.987416829451911,0.972858175142379,0.780055586433669,0.881673042443217
"StateAnxiety",0.926967182704373,0.942996100630366,0.982636848910375,0.922039261762091,0.825111196593051,0.876839595890486,0.475402091880969,0.971326183322498,0.917777249340978,0.972858175142379,0.780055586433669,0.881673042443217
"TraitAnxiety",0.926967182704373,0.741718639353281,0.826393794300468,0.922039261762091,0.517471981818892,0.876839595890486,0.874550509140389,0.971326183322498,0.814518081224825,0.681049167156788,0.780055586433669,0.745585650471687
