"","MaskLatencyFearResponse","MaskIntensityFacialFear..0.3.","MaskIntensityVocalDistress..0.3.","MaskIntensityBodilyFear..0.3.","MaskPresenceStartleResponse.0.no.1.yes","MaskIntensityEscapeBehavior..0.3."
"wunifrac.PC.1",0.017528258522554,0.118978467610384,0.144345992934639,0.174334168134393,0.71801730603518,0.00120486061066316
"wunifrac.PC.2",0.951157741184493,0.948167152641022,0.993170160416953,0.83683132979975,0.71801730603518,0.431575837915792
"wunifrac.PC.3",0.997158497878951,0.948167152641022,0.993170160416953,0.892079917343664,0.904296203762117,0.416576481727261
"wunifrac.PC.4",0.997158497878951,0.948167152641022,0.993170160416953,0.83683132979975,0.742168845095986,0.431575837915792
"unifrac.PC.1",0.997158497878951,0.948167152641022,0.993170160416953,0.892079917343664,0.847547868427225,0.0770046579578469
"unifrac.PC.2",0.997158497878951,0.948167152641022,0.993170160416953,0.892079917343664,0.71801730603518,0.941136439270625
"unifrac.PC.3",0.997158497878951,0.948167152641022,0.993170160416953,0.892079917343664,0.904296203762117,0.976495182365547
"unifrac.PC.4",0.951157741184493,0.948167152641022,0.993170160416953,0.83683132979975,0.904296203762117,0.416576481727261
"chao1",0.997158497878951,0.948167152641022,0.993170160416953,0.83683132979975,0.71801730603518,0.416576481727261
"observed_otus",0.997158497878951,0.948167152641022,0.993170160416953,0.83683132979975,0.742168845095986,0.41929045591427
"PD_whole_tree",0.997158497878951,0.948167152641022,0.993170160416953,0.892079917343664,0.904296203762117,0.431575837915792
"shannon",0.997158497878951,0.948167152641022,0.993170160416953,0.892079917343664,0.847547868427225,0.416576481727261
