"","MasksPresented","MaskMaxIntensity_Latency","MaskMaxIntensity_FacialFear","MaskMaxIntensity_VocalDistress","MaskMaxIntensity_BodilyFear","MaskMaxIntensity_StartleResponse","MaskMaxIntensity_EscapeBehavior","MaskAverageScore_Latency","MaskAverageScore_FacialFear","MaskAverageScore_VocalDistress","MaskAverageScore_BodilyFear","MaskAverageScore_StartleResponse","MaskAverageScore_EscapeBehavior","MaskSummedScore_Latency","MaskSummedScore_FacialFear","MaskSummedScore_VocalDistress","MaskSummedScore_BodilyFear","MaskSummedScore_StartleResponse","MaskSummedScore_EscapeBehavior"
"AGEVISITNEO",0.601273005157306,0.918749300858553,0.820593245014924,0.901084868160831,0.998766098712079,0.888016698266622,0.504463127291762,0.959962433551815,0.916181837168128,0.960745118773072,0.950547656336232,0.851839639032371,0.82329449285484,0.990953175279104,0.935962090465564,0.903791556430411,0.949391521415656,0.85888860309835,0.918886797452757
"MAGE",0.601273005157306,0.918749300858553,0.820593245014924,0.649885608779089,0.998766098712079,0.797873167708604,0.559102180174172,0.959962433551815,0.916181837168128,0.960745118773072,0.950547656336232,0.870230888601277,0.82329449285484,0.990953175279104,0.935962090465564,0.903791556430411,0.949391521415656,0.932254202819945,0.918886797452757
"METHNIC",0.601273005157306,0.918749300858553,0.820593245014924,0.691273486081424,0.998766098712079,0.797873167708604,0.559102180174172,0.959962433551815,0.994238307740258,0.960745118773072,0.950547656336232,0.882543718632192,0.82329449285484,0.990953175279104,0.976666257771846,0.903791556430411,0.949391521415656,0.932254202819945,0.918886797452757
"PAGE",0.601273005157306,0.980127894902831,0.953992641034305,0.951264370454393,0.969541056741228,0.888016698266622,0.778736314955035,0.959962433551815,0.916181837168128,0.960745118773072,0.883479657927933,0.851839639032371,0.82329449285484,0.990953175279104,0.935962090465564,0.903791556430411,0.826652460048888,0.85888860309835,0.918886797452757
"PETHNIC",0.601273005157306,0.945833832123665,0.917736518583779,0.831739684321414,0.998766098712079,0.797873167708604,0.559102180174172,0.959962433551815,0.994238307740258,0.960745118773072,0.950547656336232,0.882543718632192,0.82329449285484,0.990953175279104,0.976666257771846,0.903791556430411,0.949391521415656,0.932254202819945,0.918886797452757
"MEDUY",0.896558774803211,0.918749300858553,0.820593245014924,0.359915758811652,0.969541056741228,0.797873167708604,0.454019945125142,0.959962433551815,0.916181837168128,0.960745118773072,0.950547656336232,0.870230888601277,0.82329449285484,0.990953175279104,0.935962090465564,0.903791556430411,0.949391521415656,0.932254202819945,0.918886797452757
"PEDUY",0.896558774803211,0.918749300858553,0.953992641034305,0.831739684321414,0.998766098712079,0.797873167708604,0.764065407767494,0.959962433551815,0.994238307740258,0.960745118773072,0.950547656336232,0.870230888601277,0.82329449285484,0.990953175279104,0.976666257771846,0.903791556430411,0.949391521415656,0.891828993273014,0.918886797452757
"Income.code",0.601273005157306,0.918749300858553,0.820593245014924,0.585126285960504,0.998766098712079,0.797873167708604,0.926249148250051,0.959962433551815,0.916181837168128,0.960745118773072,0.950547656336232,0.851839639032371,0.9169184002759,0.990953175279104,0.935962090465564,0.903791556430411,0.949391521415656,0.85888860309835,0.918886797452757
"OLDERSIBLINGS",0.601273005157306,0.980127894902831,0.982943984685033,0.951264370454393,0.998766098712079,0.797873167708604,0.6806885014627,0.959962433551815,0.994238307740258,0.960745118773072,0.950547656336232,0.851839639032371,0.82329449285484,0.990953175279104,0.976666257771846,0.903791556430411,0.949391521415656,0.85888860309835,0.918886797452757
"SEX",0.896558774803211,0.918749300858553,0.953992641034305,0.895154263243109,0.998766098712079,0.797873167708604,1,0.959962433551815,0.916181837168128,0.960745118773072,0.950547656336232,0.870230888601277,0.82329449285484,0.990953175279104,0.935962090465564,0.903791556430411,0.949391521415656,0.932254202819945,0.918886797452757
"GESTAGEBIRTH",0.360248671677551,0.918749300858553,0.953992641034305,0.831739684321414,0.969541056741228,0.797873167708604,0.778736314955035,0.959962433551815,0.916181837168128,0.960745118773072,0.883479657927933,0.759141562375808,0.82329449285484,0.990953175279104,0.935962090465564,0.903791556430411,0.826652460048888,0.500399373961827,0.918886797452757
"BW",0.601273005157306,0.918749300858553,0.953992641034305,0.928011887630109,0.969541056741228,0.797873167708604,0.870253647950575,0.959962433551815,0.916181837168128,0.960745118773072,0.883479657927933,0.851839639032371,0.983931808041874,0.990953175279104,0.935962090465564,0.903791556430411,0.826652460048888,0.85888860309835,0.918886797452757
"MaternalInfection",0.975444698819014,0.980127894902831,0.953992641034305,0.951264370454393,0.998766098712079,0.797873167708604,0.778736314955035,0.959962433551815,0.994238307740258,0.960745118773072,0.950547656336232,0.870230888601277,0.983931808041874,0.990953175279104,0.976666257771846,0.903791556430411,0.949391521415656,0.891828993273014,0.918886797452757
"MPSYCH",0.601273005157306,0.984816177710942,0.982943984685033,0.831739684321414,0.998766098712079,0.797873167708604,1,0.959962433551815,0.994238307740258,0.960745118773072,0.950547656336232,0.870230888601277,0.82329449285484,0.990953175279104,0.976666257771846,0.903791556430411,0.949391521415656,0.85888860309835,0.918886797452757
"VITAMINDNEO",0.908657097969795,0.918749300858553,0.953992641034305,0.691273486081424,0.969541056741228,0.797873167708604,0.778736314955035,0.959962433551815,0.916181837168128,0.960745118773072,0.883479657927933,0.870230888601277,0.9169184002759,0.990953175279104,0.935962090465564,0.903791556430411,0.826652460048888,0.932254202819945,0.918886797452757
