"","IBQr_fear"
"AgeAt1yrVisit",0.00602642210627721
"MAGE",-0.115534962267081
"PAGE",0.0121401562118953
"MEDUY",-0.189685390357698
"PEDUY",-0.128351602176542
"Income.code",NA
"OLDERSIBLINGS",-0.355507428571429
"SEX",0.422153095238095
"GESTAGEBIRTH",-0.0391112363982851
"BW",-0.0014217599383203
"MaternalInfection",0.646548761363636
"MPSYCH",-0.16952835
"VITAMINDNEO",-0.229076654761905
"PrePregBMI",NA
"ANTIBIOTIC_1yr",-0.749467775000001
"FEVER_1yr",0.29250843076923
"DAYCARE",0.190345392857143
"CURBRFEED_1yr",0.00183710000000024
"FORMULA_1yr",0.0782109249999998
"Milks_1yr",-0.109541476923077
"FrenchFries_1yr",0.289453777777778
"SweetFoodsDrinks_1yr",-0.590543292307692
"PeanutButter_1yr",-0.118532583333333
"FORMULA_6mo",0.375624306818182
"WHSTOTHER",NA
"VITAMIND_6mo",0.316647403846154
"Cereals_6mo",0.0703869666666666
"NegativeLifeEvents",0.0230875876369327
"PositiveLifeEvents",-0.0516489809454012
"TotalLifeEvents",-0.0471136464115781
"STATE",0.0362265835751978
"TRAIT",0.0386741036658076
