"","Summed","Average","Max","Episode3.1","Episode3.2","Episode3.3"
"AgeAt1yrVisit",-0.0128799074156503,-0.00430880441556128,-0.00448499955488294,-0.00383156770230569,-0.00636695450903588,-0.00268138520430872
"MAGE",-0.0411055988660524,-0.0137668320340184,0.00956768249468464,-0.018781006378455,-0.0053153791637137,-0.0170092133238837
"PAGE",-0.035145689396215,-0.0118068489035746,0.00435566236106942,-0.0130669870832081,-0.0187744067287473,-0.00330429558425951
"MEDUY",0.0269636576787809,0.00898593200468932,0.1031652989449,0.00234466588511139,-0.0281359906213364,0.0527549824150059
"PEDUY",-0.282477341389728,-0.0940558912386708,-0.0996978851963746,-0.0868580060422961,-0.0785498489425982,-0.117069486404834
"Income.code",NA,NA,NA,NA,NA,NA
"OLDERSIBLINGS",0.413461538461538,0.137307692307692,0.0192307692307693,0.211538461538462,0.288461538461538,-0.0865384615384614
"SEX",-0.00961538461538481,-0.00201923076923096,-0.0192307692307693,-0.00961538461538481,-0.288461538461539,0.288461538461539
"GESTAGEBIRTH",-0.00959933222036727,-0.00321661101836394,0.00183639398998333,-0.00784641068447413,0.00300500834724539,-0.00475792988313851
"BW",0.00139397323859278,0.000463989832169541,0.000694813380136544,0.000471398162994432,0.000601356306875577,0.000321218768722767
"MaternalInfection",-1.05555555555556,-0.351944444444444,-0.75,-0.277777777777778,-0.361111111111111,-0.416666666666666
"MPSYCH",-1.55,-0.517125,-0.7375,-0.5,-0.3,-0.75
"VITAMINDNEO",-0.413461538461538,-0.137307692307692,0.182692307692308,-0.413461538461538,-0.288461538461538,0.288461538461538
"PrePregBMI",NA,NA,NA,NA,NA,NA
"ANTIBIOTIC_1yr",0.686868686868687,0.228585858585859,0.252525252525253,0.282828282828283,0.484848484848485,-0.0808080808080808
"FEVER_1yr",-2,-0.666428571428571,-1.07142857142857,-0.571428571428571,-0.571428571428571,-0.857142857142857
"DAYCARE",-0.571428571428571,-0.190952380952381,-0.650793650793651,-0.126984126984127,0.126984126984127,-0.571428571428572
"CURBRFEED_1yr",-2.97904098389673e-16,-0.00099999999999996,0.3,-7.44760245974182e-17,-2.48253415324727e-17,0
"FORMULA_1yr",0.888888888888889,0.297272727272727,0.252525252525253,0.0808080808080809,0.282828282828283,0.525252525252525
"Milks_1yr",-1.33333333333333,-0.444666666666667,-0.6,-0.266666666666667,-0.533333333333333,-0.533333333333333
"FrenchFries_1yr",1.13131313131313,0.377474747474748,0.555555555555556,0.323232323232323,0.323232323232323,0.484848484848485
"SweetFoodsDrinks_1yr",0.533333333333334,0.176666666666667,-0.0666666666666668,0.533333333333333,0.266666666666667,-0.266666666666667
"PeanutButter_1yr",1.05494505494505,0.350659340659341,0.274725274725275,0.615384615384615,0.395604395604396,0.0439560439560439
"FORMULA_6mo",-0.536363636363636,-0.177545454545455,-0.309090909090909,-0.154545454545455,-0.436363636363636,0.0545454545454545
"WHSTOTHER",NA,NA,NA,NA,NA,NA
"VITAMIND_6mo",-0.983333333333333,-0.327333333333333,-0.433333333333333,-0.533333333333333,-0.283333333333333,-0.166666666666667
"Cereals_6mo",-0.914285714285713,-0.303428571428571,-0.214285714285714,-0.242857142857142,-0.442857142857142,-0.228571428571428
"NegativeLifeEvents",-0.139019300991132,-0.0463197704747,-0.102503912363067,-0.0438184663536776,-0.0344287949921753,-0.0607720396452791
"PositiveLifeEvents",0.11066324661048,0.0367872847196775,0.0479113228288751,0.0370098937339685,0.0720960058629534,0.0015573470135581
"TotalLifeEvents",0.0669111816019033,0.0222026169706582,0.0128865979381443,0.0233941316415543,0.064928628072958,-0.021411578112609
"STATE",0.00643631436314364,0.00217140921409214,-0.0179539295392954,0.00304878048780488,0.00474254742547424,-0.00135501355013549
"TRAIT",-0.0523287859997245,-0.0174848422213036,-0.0237701529557669,-0.0210486426898167,-0.0163979605897754,-0.0148821827201323
"Stranger",-0.211538461538461,-0.0706730769230769,0.182692307692308,-0.211538461538461,-0.288461538461538,0.288461538461538
