"","wunifrac.PC.1","wunifrac.PC.2","wunifrac.PC.3","wunifrac.PC.4"
"L2.Amino.Acid.Metabolism",-4.3857074569234e-09,-1.6465128841806e-09,8.41605271929726e-09,9.07636609325902e-09
"L2.Biosynthesis.of.Other.Secondary.Metabolites",-1.72313856179661e-07,-5.33112337169945e-08,1.00659298971312e-07,7.49905541142185e-08
"L2.Cancers",-8.70273763112452e-07,1.60698041356756e-08,6.8564253787859e-07,9.76939955741503e-07
"L2.Carbohydrate.Metabolism",-4.18057569418096e-09,-2.72705861033113e-09,5.28606642538886e-09,6.42134391829513e-09
"L2.Cardiovascular.Diseases",0.00255538088161749,-7.87889733309186e-05,-0.000113662259946995,0.000374059640241183
"L2.Cell.Communication",NA,NA,NA,NA
"L2.Cell.Growth.and.Death",1.87406062327551e-07,1.25456230461839e-07,2.44874233207861e-07,2.22633246188942e-07
"L2.Cell.Motility",-5.19618058188815e-08,5.88395692145852e-09,-1.00312410260542e-08,5.84805783627135e-08
"L2.Cellular.Processes.and.Signaling",-1.38934193382141e-08,-6.38631688924596e-09,1.13969799211052e-08,1.68273146397832e-08
"L2.Circulatory.System",-2.34628582009166e-05,-1.92936666652265e-05,1.39491165089162e-05,2.02602457096453e-05
"L2.Digestive.System",-3.68546003536976e-06,-1.60510216062358e-06,1.09372367886086e-06,-6.78234132999114e-08
"L2.Endocrine.System",-6.69848583344208e-07,-4.00237328645584e-07,3.45849202445717e-07,1.75271463054323e-07
"L2.Energy.Metabolism",-8.99024708106551e-09,-3.44385424202843e-09,1.33463112399686e-08,1.67590745730015e-08
"L2.Environmental.Adaptation",-2.98620224668831e-07,1.74718985002106e-07,2.76516648208779e-07,9.43736633570101e-07
"L2.Enzyme.Families",-1.60963759255166e-09,-6.02171153074764e-09,2.73840603990193e-08,3.88712878436249e-08
"L2.Excretory.System",-1.55025768651829e-06,-5.84826340093232e-07,1.2970470738967e-06,1.28025549958004e-06
"L2.Folding..Sorting.and.Degradation",-1.06778080400468e-08,-7.13733780939619e-09,3.3209498224683e-08,3.73450925241806e-08
"L2.Genetic.Information.Processing",5.51731028671894e-09,-2.61536155342717e-09,2.72704728269833e-08,3.40114133355946e-08
"L2.Glycan.Biosynthesis.and.Metabolism",-4.34585227636462e-08,-1.07272325031633e-08,4.08319686646909e-08,2.24150680649659e-08
"L2.Immune.System",-3.64328576158403e-06,7.41047766842213e-08,6.45656152861098e-07,1.8252934886931e-06
"L2.Immune.System.Diseases",1.32395972805148e-06,-4.36439444928032e-08,7.23580154178629e-07,1.36384249796664e-06
"L2.Infectious.Diseases",-3.8967449617404e-09,-7.46149236671032e-08,1.11109915217793e-07,1.27388460028627e-07
"L2.Lipid.Metabolism",-1.48652466445557e-08,-1.09508848716205e-08,2.19924282805857e-08,2.74849214481388e-08
"L2.Membrane.Transport",2.01841402873745e-09,-1.20232675621345e-09,2.56609919553207e-09,4.21703253969745e-09
"L2.Metabolic.Diseases",4.20181466793228e-08,1.12133956883803e-07,1.09061689751768e-06,1.01185771075068e-06
"L2.Metabolism",-2.11297639390889e-08,-9.68168737703121e-09,1.60668981010053e-08,2.42874186973664e-08
"L2.Metabolism.of.Cofactors.and.Vitamins",-1.34819378066482e-08,-6.89827356839159e-10,1.88030253481571e-08,2.02818016710019e-08
"L2.Metabolism.of.Other.Amino.Acids",-2.1819921320724e-08,-1.60881782595971e-08,4.14662002312742e-08,4.23311542917745e-08
"L2.Metabolism.of.Terpenoids.and.Polyketides",-3.5713245628438e-08,-1.18777188277844e-08,4.62301971376315e-08,5.1115295127492e-08
"L2.Nervous.System",-1.95871477413804e-06,-5.13981114825857e-07,1.21845321949911e-06,9.78620152684693e-07
"L2.Neurodegenerative.Diseases",-2.08165218664964e-07,-2.7507809954085e-07,3.46928420568632e-07,5.10012437878452e-07
"L2.Nucleotide.Metabolism",1.38231125428809e-08,5.43873611498982e-09,2.27072792573097e-08,2.21905086244762e-08
"L2.Poorly.Characterized",-9.01041840563052e-09,-3.55346727234837e-09,1.31001252280133e-08,1.6120181170905e-08
"L2.Replication.and.Repair",5.43016794532868e-09,3.1426414950597e-09,1.13210235868595e-08,1.23797651933646e-08
"L2.Sensory.System",NA,NA,NA,NA
"L2.Signal.Transduction",-1.79487348412991e-08,-1.87259872613228e-08,1.49136025219521e-08,3.87033199157122e-08
"L2.Signaling.Molecules.and.Interaction",4.51133480847716e-07,1.14924463855987e-08,3.90715164745374e-07,2.88505973068792e-07
"L2.Transcription",-1.12505826365635e-08,-7.11210295371809e-09,1.41982992585205e-08,2.55351012273362e-08
"L2.Translation",2.03088079106051e-08,8.57363276013352e-09,1.83057758436772e-08,1.75560108256345e-08
"L2.Transport.and.Catabolism",-1.00332439506181e-06,-3.20532531902331e-07,2.84785413452291e-07,3.41910344140455e-08
"L2.Xenobiotics.Biodegradation.and.Metabolism",-4.59909529284236e-09,-1.75050478893683e-08,2.09178336699256e-08,3.52069929311473e-08
