"","wunifrac.PC.1","wunifrac.PC.2","wunifrac.PC.3","wunifrac.PC.4","unifrac.PC.1","unifrac.PC.2","unifrac.PC.3","unifrac.PC.4","chao1","observed_otus","PD_whole_tree","shannon"
"MAGE",0.548007260651369,8.80803712160769e-05,0.688067759419733,0.368253324078075,0.418722511768163,0.0472481397746095,0.308673666826674,0.217657962146596,0.495756325165044,0.344488338770937,0.0644877015386925,0.253698916425554
"METHNIC",0.872260443173764,0.246592630915298,0.623520885052713,0.495743291387921,0.389488390138152,0.163712654910936,0.432179111281721,0.813873415611532,0.664698960160852,0.685701539467419,0.914137080123808,0.764511131328898
"PAGE",0.43319126945867,0.0871130646282036,0.988297174221158,0.294646794940536,0.158221875460266,0.517232292299859,0.648762865743866,0.0978558212255532,0.655976503157885,0.94018777370097,0.635875696813558,0.750104209651009
"PETHNIC",0.484815135044505,0.399105073262906,0.451261516298232,0.0910474524688533,0.979012661153361,0.314048803649081,0.379720742537227,0.655696555328181,0.355365765580058,0.30826126529098,0.469443770854556,0.784945885403866
"MEDUY",0.750373328176671,0.0724269854382077,0.708656826521508,0.56933415150293,0.876340099438696,0.579067688813551,0.353186259732853,0.724218498300414,0.470881541393265,0.518293277943468,0.172086630439016,0.676115707286554
"PEDUY",0.315774570815266,0.0609958956948427,0.13471584770419,0.0428770720653103,0.673694018456389,0.0822706775304398,0.109708914908336,0.0586417671704889,0.131008360416567,0.183790278634851,0.103438329614058,0.915420253168021
"Income.code",0.707072196265212,0.47089274031837,0.772809378633186,0.806449927452472,0.762836459526221,0.620767120110421,0.390731019309132,0.351252241612778,0.147138634293495,0.161903369317861,0.190962193243068,0.0662686241447965
"OLDERSIBLINGS",0.121590764633862,0.0747715162462206,0.98155937276536,0.961875056132285,0.856155461986154,0.165012941378968,0.119950255126126,0.267216506338428,0.587724636657201,0.348031155002477,0.250189555190506,0.606881178685842
"SEX",0.720055480951895,0.876040731992672,0.217765849383125,0.671732429037896,0.925987769115502,0.424040638282791,0.246695384117335,0.354607232437642,0.981145857182852,0.981992924158675,0.774076133443341,0.566875844968093
"GESTAGEBIRTH",0.543039245614578,0.159717265066809,0.546060995438991,0.261782944229312,0.547491552046564,0.453661250300953,0.691281390385709,0.903030064141188,0.163204857410237,0.433958278747532,0.233360461562201,0.364228067695122
"BW",0.670967718590374,0.533823410561701,0.590862825178878,0.344100515689878,0.0132349105156699,0.186676535826728,0.755826024769636,0.433255540576261,0.43551126141227,0.623480363296208,0.540482754570356,0.844242904140563
"MaternalInfection",0.495086746721086,0.884485318581282,0.490118379576423,0.905259013602512,0.35021751081416,0.022411546920853,0.411628976620452,0.589756885938213,0.273471449664678,0.383964987645417,0.835121119168147,0.423787898713003
"MPSYCH",0.118298376178108,0.522811089584375,0.0302446076555045,0.786716564695833,0.481035729845539,0.12871346353363,0.0492951594386316,0.386411913181531,0.914611038127801,0.542521233110742,0.288982442948008,0.113178915889744
"VITAMINDNEO",0.10400107891618,0.143001502265371,0.740901729440544,0.881654789025395,0.690323114084558,0.264579194568922,0.329033663910824,0.889616683233334,0.00919362679483744,0.033863462273706,0.112660301695278,0.002479028117169
"PrePregBMI",0.857676425044668,0.0424832951090257,0.0888738478960693,0.904686055228142,0.229870584562784,0.228482361247738,0.864947793514308,0.505803599053327,0.915245266382083,0.936728147502316,0.899884281997548,0.698685680819904
