"","wunifrac.PC.1","wunifrac.PC.2","wunifrac.PC.3","wunifrac.PC.4"
"L3.1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation",0.207620430842389,0.726800140893731,0.36803327732132,0.140817626979854
"L3.ABC.transporters",0.754437599058672,0.638233999601633,0.203209746664697,0.00658588439484803
"L3.Adherens.junction",NA,NA,NA,NA
"L3.Adipocytokine.signaling.pathway",0.139918999189713,0.0389315720853197,0.0982614216135498,0.408728585308978
"L3.African.trypanosomiasis",0.26950159367427,0.0209676654283037,0.315510538475456,0.217151415536199
"L3.Alanine..aspartate.and.glutamate.metabolism",0.313246765878179,0.645660584238799,0.0562106873290572,0.00775108818550408
"L3.Aldosterone.regulated.sodium.reabsorption",0.235412184346604,0.716445711868321,0.348477348245945,0.124738664340288
"L3.Alzheimer.s.disease",0.78950975934002,0.720626025773743,0.0617423197335216,0.0205411505131676
"L3.Amino.acid.metabolism",0.478742478675184,0.547575881749776,0.121559830742425,0.0147056098863004
"L3.Amino.acid.related.enzymes",0.899541207675001,0.71117527320081,0.0411623029116233,0.0124632576552138
"L3.Amino.sugar.and.nucleotide.sugar.metabolism",0.794379383601509,0.786151227084549,0.0687293191462023,0.0487766221194122
"L3.Aminoacyl.tRNA.biosynthesis",0.182934433567247,0.265783036688509,0.0604897957188033,0.0372143355698026
"L3.Aminobenzoate.degradation",0.825152567949039,0.100815769036118,0.226369236504219,0.0308465602593469
"L3.Amoebiasis",0.00425838260152299,0.371630542633798,0.20551581970072,0.657612327309013
"L3.Amyotrophic.lateral.sclerosis..ALS.",0.545490060531478,0.0814753815194639,0.143980356844792,0.0185969612216014
"L3.Antigen.processing.and.presentation",0.0125725940523258,0.90725511047071,0.302592611023342,6.18524254292141e-05
"L3.Apoptosis",0.00428926954256063,0.598666562040128,0.889408778619086,0.0362977365326196
"L3.Arachidonic.acid.metabolism",0.77058809687018,0.321231381034769,0.48280074714606,0.022035106093928
"L3.Arginine.and.proline.metabolism",0.233426798045988,0.502334776271206,0.0777685190847409,0.00502777807830641
"L3.Arrhythmogenic.right.ventricular.cardiomyopathy..ARVC.",NA,NA,NA,NA
"L3.Ascorbate.and.aldarate.metabolism",0.523993246717982,0.256340160865983,0.143778567817637,0.0163981616076983
"L3.Atrazine.degradation",0.70221374643527,0.118892684480492,0.302705058151274,0.0207969209223449
"L3.Bacterial.chemotaxis",0.130356105850309,0.713387083312118,0.317694645072562,0.0140303900845754
