"","MaskLatencyFearResponse","MaskIntensityFacialFear..0.3.","MaskIntensityVocalDistress..0.3.","MaskIntensityBodilyFear..0.3.","MaskPresenceStartleResponse.0.no.1.yes","MaskIntensityEscapeBehavior..0.3."
"wunifrac.PC.1",0.894827548443422,0.902072240241346,0.799328425624026,0.788089409318791,0.592328708329621,0.767426810906908
"wunifrac.PC.2",0.425341737844657,0.300347972713624,0.423413662323445,0.749061204602875,0.579100467627677,0.603911719963798
"wunifrac.PC.3",0.030687151298129,0.0104505286439143,0.0527110378751903,0.0407031565678444,0.363343561737583,0.0121272087923041
"wunifrac.PC.4",0.0455290679440052,0.0822578537815557,0.0911341809284534,0.402190556128251,0.5747818047256,0.247590887329699
"unifrac.PC.1",0.177697577727785,0.217185497288032,0.438112990999502,0.131308533724435,0.983890012671161,0.103909435053623
"unifrac.PC.2",0.435295718771701,0.258157558224479,0.386837845698054,0.323320810218929,0.840930631324627,0.933847307825297
"unifrac.PC.3",0.981680751755101,0.959797172151859,0.709357976804737,0.718240287169435,0.988079102727457,0.918864236895276
"unifrac.PC.4",0.209375216566982,0.250578982058213,0.138284259645902,0.088236071339338,0.00933503988661655,0.551490480272325
"chao1",0.729720369063797,0.94557378313448,0.588684524988963,0.627408159535578,0.467655106564653,0.586705032370139
"observed_otus",0.616544583126168,0.715978211692196,0.425572952343961,0.312112319912847,0.187214891569829,0.697643324875931
"PD_whole_tree",0.373903431535976,0.503175204282746,0.187756494266869,0.162235729856536,0.194715854804026,0.204135540735043
"shannon",0.05718375844899,0.043854357136452,0.0487829652327092,0.00348386155402558,0.0691353397412684,0.0736534194013043
