"","neo.WM","neo.GM","neo.CSF","neo.ICV","neo.Hippocampus_LR","neo.Amygdala_LR","neo.mPFC","yr1.WM","yr1.GM","yr1.CSF","yr1.ICV","yr1.Hippocampus_LR","yr1.Amygdala_LR","yr1.mPFC"
"wunifrac.PC.1",0.223466117143935,0.0943746383841338,0.589162488270898,0.146329269606405,0.216202424692012,0.0127852010803913,0.100546147926977,0.26345003180994,0.813844792996812,0.108176962372721,0.177405147637589,0.525306539057645,0.236349040732259,0.59527513851446
"wunifrac.PC.2",0.962167109162818,0.983851816604829,0.400669791584049,0.81278472281051,0.340590808235353,0.835983479093846,0.969025013476856,0.967897642927391,0.286070994047818,0.967405580740794,0.857485746497719,0.917657338542758,0.0342058326328121,0.759341674474895
"wunifrac.PC.3",0.814780529235994,0.859946244745365,0.268046576057956,0.719872991112649,0.926502119293329,0.930125215245184,0.916672110170811,0.31521843871936,0.101245762135634,0.240246647941956,0.411434812602553,0.226917512422733,0.330800311960402,0.407927198826044
"wunifrac.PC.4",0.208780757336648,0.596097875950188,0.117260499074967,0.287067313031738,0.369554626353728,0.707950077121404,0.489617855470082,0.784452244105621,0.668031453662538,0.226672706687969,0.486642332916769,0.805936584669693,0.80688302917154,0.633758843988387
"unifrac.PC.1",0.17306599968771,0.415083505127918,0.300007357850616,0.263857860071178,0.22510731586679,0.06932695074584,0.243339767787155,0.713541787206624,0.0561506539445146,0.525591846906817,0.893687301025541,0.336082518657071,0.419946101646605,0.382816683996638
"unifrac.PC.2",0.433335084401125,0.224527506037945,0.0128764952833219,0.10689597462865,0.344252817712855,0.728451066131401,0.206870872142646,0.394554171675487,0.341971054802265,0.375149051568107,0.476950633699228,0.114487891462226,0.716413865775839,0.497129711319245
"unifrac.PC.3",0.2031518873422,0.191693846437322,0.940489923575297,0.28564247516675,0.10330546187916,0.0303192950248873,0.139980165734217,0.0518182504616038,0.581533853079425,0.104708128689929,0.0531926013410298,0.979968422329194,0.715223426748835,0.415658453996953
"unifrac.PC.4",0.743097773898397,0.899724698467164,0.0876419685211527,0.530268280202188,0.746469748778297,0.990192037272339,0.938481911881052,0.941180193206548,0.341286371046778,0.86318379170276,0.822678200984378,0.37181071096483,0.362814728888111,0.514969733215706
"chao1",0.320927691172251,0.574024011872198,0.479070829659173,0.434831396310248,0.320758009109686,0.163055585922707,0.511202507820121,0.0997692005327006,0.490516299568352,0.742886045646878,0.295413430559403,0.698422934086558,0.649138220553608,0.506889713528758
"observed_otus",0.306590178108303,0.725516039974595,0.772335012032074,0.588186942049664,0.689572863990474,0.345081418912241,0.530087932697857,0.22963365376634,0.381982628710951,0.853790533350506,0.550321435830626,0.521166451529503,0.608054908924223,0.726122732593222
"PD_whole_tree",0.519852175883753,0.638925795929226,0.922089398194516,0.640827412447316,0.556403997406373,0.238450655260892,0.528037746679826,0.730568491481241,0.839877426200826,0.987278060805348,0.837032605222454,0.51198742096439,0.922081542046404,0.500329686347873
"shannon",0.625599901029352,0.836207716674178,0.341960172832291,0.785910789449478,0.560964118135516,0.764829402081217,0.927308730252738,0.327805983448923,0.0965758504173304,0.99735994312686,0.466808653260128,0.770605723578455,0.294631391811453,0.421166895618527
