"","Summed","Average","Max","Episode3.1","Episode3.2","Episode3.3"
"AgeAt1yrVisit",0.777538659798486,0.777876366554145,0.903796402290843,0.878913627947222,0.563016765097414,0.998396439432561
"MAGE",0.878947468704682,0.8771283375554,0.965201855796831,0.886488596109855,0.923897207399383,0.998396439432561
"PAGE",0.870064735468595,0.871578330804829,0.965201855796831,0.886488596109855,0.648652813755369,0.998396439432561
"MEDUY",0.974113220034733,0.972999296439502,0.903796402290843,1,0.875367900263974,0.998396439432561
"PEDUY",0.777538659798486,0.777876366554145,0.796195386890367,0.878913627947222,0.563016765097414,0.998396439432561
"Income.code",0.974113220034733,0.972999296439502,0.965201855796831,1,0.86445889373512,0.998396439432561
"OLDERSIBLINGS",0.870064735468595,0.871578330804829,0.965201855796831,0.878913627947222,0.648652813755369,0.998396439432561
"SEX",1,0.997508088055851,0.965201855796831,1,0.648652813755369,0.998396439432561
"GESTAGEBIRTH",0.974113220034733,0.972999296439502,0.965201855796831,0.926584089103472,0.923897207399383,0.998396439432561
"BW",0.777538659798486,0.777876366554145,0.796195386890367,0.878913627947222,0.563016765097414,0.998396439432561
"MaternalInfection",0.777538659798486,0.777876366554145,0.796195386890367,0.878913627947222,0.648652813755369,0.998396439432561
"MPSYCH",0.777538659798486,0.777876366554145,0.796195386890367,0.878913627947222,0.648652813755369,0.998396439432561
"VITAMINDNEO",0.870064735468595,0.871578330804829,0.928676223647019,0.878913627947222,0.648652813755369,0.998396439432561
"PrePregBMI",0.777538659798486,0.777876366554145,0.903796402290843,0.917271572423646,0.543444843487498,0.998396439432561
"ANTIBIOTIC_1yr",0.822617188503769,0.823725950997322,0.903796402290843,0.878913627947222,0.563016765097414,0.998396439432561
"FEVER_1yr",0.777538659798486,0.777876366554145,0.60882410703331,0.878913627947222,0.563016765097414,0.998396439432561
"DAYCARE",0.870064735468595,0.871578330804829,0.796195386890367,0.940209966950194,0.875367900263974,0.998396439432561
"CURBRFEED_1yr",1,0.997508088055851,0.903796402290843,1,1,1
"FORMULA_1yr",0.777538659798486,0.777876366554145,0.903796402290843,0.965025745315707,0.648652813755369,0.998396439432561
"Milks_1yr",0.777538659798486,0.777876366554145,0.796195386890367,0.878913627947222,0.563016765097414,0.998396439432561
"FrenchFries_1yr",0.777538659798486,0.777876366554145,0.796195386890367,0.878913627947222,0.648652813755369,0.998396439432561
"SweetFoodsDrinks_1yr",0.870064735468595,0.871578330804829,0.965201855796831,0.878913627947222,0.687867852477381,0.998396439432561
"PeanutButter_1yr",0.777538659798486,0.777876366554145,0.903796402290843,0.878913627947222,0.648652813755369,0.998396439432561
"FORMULA_6mo",0.870064735468595,0.871578330804829,0.903796402290843,0.886488596109855,0.563016765097414,0.998396439432561
"WHSTOTHER",0.777538659798486,0.777876366554145,0.928676223647019,0.878913627947222,0.563016765097414,0.998396439432561
"VITAMIND_6mo",0.801560414251831,0.802704209519759,0.903796402290843,0.878913627947222,0.687867852477381,0.998396439432561
"Cereals_6mo",0.801560414251831,0.802704209519759,0.928676223647019,0.878913627947222,0.648652813755369,0.998396439432561
"NegativeLifeEvents",0.777538659798486,0.777876366554145,0.796195386890367,0.878913627947222,0.687867852477381,0.998396439432561
"PositiveLifeEvents",0.777538659798486,0.777876366554145,0.796195386890367,0.878913627947222,0.543444843487498,0.998396439432561
"TotalLifeEvents",0.822617188503769,0.823725950997322,0.965201855796831,0.878913627947222,0.543444843487498,0.998396439432561
"STATE",0.974113220034733,0.972999296439502,0.903796402290843,1,0.92239349328405,0.998396439432561
"TRAIT",0.777538659798486,0.777876366554145,0.903796402290843,0.878913627947222,0.648652813755369,0.998396439432561
"Stranger",0.974113220034733,0.972999296439502,0.928676223647019,0.878913627947222,0.648652813755369,0.998396439432561
