"","diff.WM","diff.GM","diff.CSF","diff.ICV","diff.Hippocampus_LR","diff.Amygdala_LR","diff.mPFC"
"chao1",519.509101348142,11.5189678888558,252.301604637792,783.329673874791,-0.619552274833589,1.02437320218713,29.9867709583935
"observed_otus",800.740589196149,57.8502983144004,-100.113786129749,758.477101380804,-3.19347249486484,1.9701900742401,28.6875355744605
"PD_whole_tree",3029.16682122185,666.294570028929,253.771475208463,3949.23286645931,-43.2000774768632,24.6137923795626,1396.58201901673
"shannon",28038.2693059448,3910.14055953383,-6955.2023205785,24993.2075449001,-25.832730943112,-52.2480749759624,-3782.42409640242
"wunifrac.PC.1",-37269.2439332052,108512.448114644,-119012.742521197,-47769.5383397587,-170.988496869065,491.736011599931,5375.57335299571
"wunifrac.PC.2",-5030.98666598732,-62074.8075276956,-23723.2881440991,-90829.0823377816,-196.735723212611,566.280015080553,-4875.74804769507
"wunifrac.PC.3",100095.051604468,-141400.763380256,257246.104717996,215940.392942208,1632.89138937634,-234.680100529634,12136.0916215855
"wunifrac.PC.4",-42987.3099027473,-146557.377693467,95014.4719669935,-94530.2156292214,-679.523841510859,-882.149854565186,-2987.9294218531
"unifrac.PC.1",47544.3301947915,34258.7555456967,-45234.1162968577,36568.9694436304,-509.292847557537,-285.169300223132,-9812.95724468966
"unifrac.PC.2",58070.5302007995,52812.960101048,145749.597074338,256633.087376185,965.814152954788,199.530529705499,14697.7525524622
"unifrac.PC.3",117943.045546263,-115459.220722818,179727.692855417,182211.517678861,-506.110546197559,-405.758652329002,-1435.12468824413
"unifrac.PC.4",-10351.2445644301,-93322.116605178,6059.90592524596,-97613.4552443613,-654.456044243767,-400.076452101471,7258.55793591058
