"","MasksPresented","MaskMaxIntensity_Latency","MaskMaxIntensity_FacialFear","MaskMaxIntensity_VocalDistress","MaskMaxIntensity_BodilyFear","MaskMaxIntensity_StartleResponse","MaskMaxIntensity_EscapeBehavior","MaskAverageScore_Latency","MaskAverageScore_FacialFear","MaskAverageScore_VocalDistress","MaskAverageScore_BodilyFear","MaskAverageScore_StartleResponse","MaskAverageScore_EscapeBehavior","MaskSummedScore_Latency","MaskSummedScore_FacialFear","MaskSummedScore_VocalDistress","MaskSummedScore_BodilyFear","MaskSummedScore_StartleResponse","MaskSummedScore_EscapeBehavior"
"wunifrac.PC.1",0.482665731900611,0.925922008124279,0.866368547375827,0.933024580657975,0.905978088593296,0.829240854193803,0.861905916229224,0.849405245484458,0.898952354217075,0.905497244123632,0.75707620545594,0.83367448851637,0.911420009591515,0.964943842502503,0.990146342554845,0.755550607534746,0.907841858149218,0.928178433650948,0.957080490160103
"wunifrac.PC.2",0.85456331156662,0.535188398307121,0.487893776578927,0.504260225654671,0.675379344580008,0.786875822483628,0.861905916229224,0.727401169915831,0.497505324281195,0.595666415488954,0.75707620545594,0.83367448851637,0.911420009591515,0.636091695177793,0.533153713404002,0.573525043446802,0.845511107004202,0.928178433650948,0.926088581316646
"wunifrac.PC.3",0.482665731900611,0.288942980369879,0.353880178724762,0.504260225654671,0.211549959571483,0.786875822483628,0.361084475741871,0.342108537308422,0.225080564631996,0.404456409770494,0.386089642302071,0.83367448851637,0.387519188363399,0.277855838882613,0.177895016895411,0.317605008832512,0.301718027128849,0.80984179600041,0.372983903181248
"wunifrac.PC.4",0.482665731900611,0.288942980369879,0.353880178724762,0.504260225654671,0.601406541685699,0.829240854193803,0.861905916229224,0.342108537308422,0.390855717650734,0.404456409770494,0.614248412612323,0.83367448851637,0.771381472195228,0.277855838882613,0.385418181618643,0.404863629903971,0.591345042778598,0.928178433650948,0.732714294363074
"unifrac.PC.1",0.85456331156662,0.429538687766974,0.353880178724762,0.504260225654671,0.452365999086475,0.829240854193803,0.844578409665138,0.500057930467384,0.497505324281195,0.595666415488954,0.439008983290835,0.998220544107167,0.650137054763101,0.579530104144482,0.533153713404002,0.573525043446802,0.411844349208298,0.928178433650948,0.691315248563496
"unifrac.PC.2",0.990398654629069,0.429538687766974,0.487893776578927,0.504260225654671,0.601406541685699,0.829240854193803,0.861905916229224,0.727401169915831,0.497505324281195,0.595666415488954,0.584717026045186,0.998220544107167,0.999836782361487,0.636091695177793,0.533153713404002,0.573525043446802,0.564804328779442,0.928178433650948,0.957080490160103
"unifrac.PC.3",0.313435613696256,0.890745062643425,0.866368547375827,0.933024580657975,0.892280414787613,0.829240854193803,0.861905916229224,0.849405245484458,0.898952354217075,0.905497244123632,0.75707620545594,0.998220544107167,0.999836782361487,0.964943842502503,0.990146342554845,0.755550607534746,0.753348608310418,0.928178433650948,0.926088581316646
"unifrac.PC.4",0.26612488071399,0.925922008124279,0.866368547375827,0.933024580657975,0.488838110037877,0.40699551209739,0.964495762156395,0.627060886348949,0.569538908166372,0.521749866097663,0.408993620549757,0.192656267943699,0.911420009591515,0.636091695177793,0.620901143502015,0.503256641124961,0.369609337279799,0.233373852219635,0.926088581316646
"chao1",0.313435613696256,0.925922008124279,0.842820109622355,0.933024580657975,0.601406541685699,0.829240854193803,0.861905916229224,0.849405245484458,0.898952354217075,0.832693748386226,0.75707620545594,0.83367448851637,0.911420009591515,0.88614834685078,0.990146342554845,0.697448311548105,0.733548615905508,0.80984179600041,0.8843476494525
"observed_otus",0.26612488071399,0.925922008124279,0.842820109622355,0.933024580657975,0.488838110037877,0.786875822483628,0.861905916229224,0.849405245484458,0.898952354217075,0.701005735082438,0.584717026045186,0.658288108991439,0.911420009591515,0.853800734834788,0.990146342554845,0.573525043446802,0.535071510904525,0.572761277998369,0.91093519014855
"PD_whole_tree",0.0180711781542907,0.925922008124279,0.842820109622355,0.933024580657975,0.477895315638761,0.829240854193803,0.861905916229224,0.835636651066602,0.898952354217075,0.595666415488954,0.46066512644477,0.658288108991439,0.771381472195228,0.636091695177793,0.956301785027637,0.503256641124961,0.369609337279799,0.572761277998369,0.617877358497629
"shannon",0.26612488071399,0.429538687766974,0.579728826800963,0.504260225654671,0.0530109069330214,0.618340783016462,0.361084475741871,0.380236357295293,0.390855717650734,0.404456409770494,0.128961565597,0.649297182761559,0.650137054763101,0.277855838882613,0.363386712097448,0.317605008832512,0.0755806008873747,0.572761277998369,0.544530514602574
