"","diff.WM","diff.GM","diff.CSF","diff.ICV","diff.Hippocampus_LR","diff.Amygdala_LR","diff.mPFC"
"chao1",0.200084532842278,0.735448881884839,0.602849864554338,0.337604458218353,0.923569258753698,0.556165277687886,0.181305128514954
"observed_otus",0.483812658370806,0.783159329108826,0.827436076818811,0.802181296442552,0.737327830174365,0.535507186859062,0.27930957976607
"PD_whole_tree",0.800777307709717,0.69110646482274,0.558993852169698,0.918355820820612,0.825038747757301,0.820914280029742,0.0450984611047167
"shannon",0.384024177356241,0.791733237474895,0.619301530784263,0.707437640159405,0.885709006036991,0.53405413796331,0.597593442250638
"wunifrac.PC.1",0.607041607454506,0.497862206416867,0.26723786354083,0.805380431637082,0.69822258261867,0.368574166675424,0.024919566591641
"wunifrac.PC.2",0.770607805070559,0.313704364112467,0.748139664838559,0.773575343120848,0.711024556070886,0.259474108271605,0.634694128413438
"wunifrac.PC.3",0.8053248471098,0.325856715325663,0.684907468845961,0.616778729185324,0.12803109216611,0.767462264080439,0.153691066190872
"wunifrac.PC.4",0.986091125509354,0.319532029966297,0.0398171508411982,0.916443134119234,0.417384996550871,0.067311454754517,0.476678444266888
"unifrac.PC.1",0.487967157303094,0.257967195856898,0.127870931644736,0.824585587999766,0.431108622630558,0.429562195291388,0.242125817723315
"unifrac.PC.2",0.831439942151386,0.140933559464448,0.127705706527624,0.155519356955049,0.0572920449805638,0.337877562909122,0.408070981076332
"unifrac.PC.3",0.192790546806162,0.81998392566968,0.239039105341848,0.384192782441534,0.669305999016182,0.61321013333049,0.179286911362185
"unifrac.PC.4",0.251965743012841,0.341856534136414,0.876582588895033,0.319706889599213,0.953100684418911,0.896100263255168,0.706436837450538
